symbol,date,open,high,low,close,volume,source,collected_at
SEARL,2016-05-11,470.98,475.0,467.15,469.93,397600,psxdata,2026-05-11T12:52:44
SEARL,2016-05-12,470.01,471.9,463.0,464.39,233000,psxdata,2026-05-11T12:52:44
SEARL,2016-05-13,462.6,466.98,455.0,458.63,248400,psxdata,2026-05-11T12:52:44
SEARL,2016-05-16,460.63,463.92,457.0,458.02,194300,psxdata,2026-05-11T12:52:44
SEARL,2016-05-17,459.5,464.39,457.55,459.06,233400,psxdata,2026-05-11T12:52:44
SEARL,2016-05-18,461.05,462.5,458.0,459.71,214400,psxdata,2026-05-11T12:52:44
SEARL,2016-05-19,461.99,470.0,461.0,468.18,613300,psxdata,2026-05-11T12:52:44
SEARL,2016-05-20,470.5,475.89,467.0,469.57,600500,psxdata,2026-05-11T12:52:44
SEARL,2016-05-23,471.2,473.0,466.0,468.25,198200,psxdata,2026-05-11T12:52:44
SEARL,2016-05-24,468.98,469.79,464.5,465.89,123700,psxdata,2026-05-11T12:52:44
SEARL,2016-05-25,467.3,472.0,465.5,465.93,335600,psxdata,2026-05-11T12:52:44
SEARL,2016-05-26,467.94,477.38,465.0,474.52,739300,psxdata,2026-05-11T12:52:44
SEARL,2016-05-27,474.3,475.05,470.89,471.49,213700,psxdata,2026-05-11T12:52:44
SEARL,2016-05-30,471.99,471.99,465.05,465.38,142300,psxdata,2026-05-11T12:52:44
SEARL,2016-05-31,467.9,473.85,466.17,472.1,474100,psxdata,2026-05-11T12:52:44
SEARL,2016-06-01,476.0,487.5,475.0,484.03,1100700,psxdata,2026-05-11T12:52:44
SEARL,2016-06-02,486.4,492.0,483.2,484.45,410600,psxdata,2026-05-11T12:52:44
SEARL,2016-06-03,484.9,495.5,483.6,490.6,729600,psxdata,2026-05-11T12:52:44
SEARL,2016-06-06,493.06,515.13,493.06,515.13,805000,psxdata,2026-05-11T12:52:44
SEARL,2016-06-07,525.0,540.88,519.0,540.11,1525700,psxdata,2026-05-11T12:52:44
SEARL,2016-06-08,547.0,548.0,535.01,544.48,674400,psxdata,2026-05-11T12:52:44
SEARL,2016-06-09,543.5,551.0,540.1,541.19,335000,psxdata,2026-05-11T12:52:44
SEARL,2016-06-10,541.0,543.5,517.1,522.1,247700,psxdata,2026-05-11T12:52:44
SEARL,2016-06-13,516.0,534.4,513.5,531.44,511400,psxdata,2026-05-11T12:52:44
SEARL,2016-06-14,535.94,546.4,535.35,543.52,466400,psxdata,2026-05-11T12:52:44
SEARL,2016-06-15,569.1,570.69,558.0,570.69,414400,psxdata,2026-05-11T12:52:44
SEARL,2016-06-16,573.0,599.0,566.5,597.04,1033900,psxdata,2026-05-11T12:52:44
SEARL,2016-06-17,596.99,599.0,567.19,569.05,816700,psxdata,2026-05-11T12:52:44
SEARL,2016-06-20,564.25,567.98,540.6,542.33,1326300,psxdata,2026-05-11T12:52:44
SEARL,2016-06-21,543.33,569.44,543.33,567.35,1415900,psxdata,2026-05-11T12:52:44
SEARL,2016-06-22,572.0,578.0,547.0,552.37,1297700,psxdata,2026-05-11T12:52:44
SEARL,2016-06-23,552.1,552.4,541.05,548.64,510900,psxdata,2026-05-11T12:52:44
SEARL,2016-06-24,545.0,545.0,521.21,538.49,1275200,psxdata,2026-05-11T12:52:44
SEARL,2016-06-27,540.1,554.99,540.0,544.02,703700,psxdata,2026-05-11T12:52:44
SEARL,2016-06-28,545.03,551.0,516.82,523.37,2080300,psxdata,2026-05-11T12:52:44
