symbol,date,open,high,low,close,volume,source,collected_at
SLGL,2024-04-22,13.0,13.0,12.0,12.1,6316832,psxdata,2026-05-11T12:53:30
SLGL,2024-04-23,12.2,12.25,11.1,11.54,1789775,psxdata,2026-05-11T12:53:30
SLGL,2024-04-24,11.7,11.95,11.57,11.63,1087159,psxdata,2026-05-11T12:53:30
SLGL,2024-04-25,11.69,12.15,11.4,11.55,1933131,psxdata,2026-05-11T12:53:30
SLGL,2024-04-26,11.55,11.6,11.13,11.38,492384,psxdata,2026-05-11T12:53:30
SLGL,2024-04-29,11.6,11.6,10.9,11.2,3030314,psxdata,2026-05-11T12:53:30
SLGL,2024-04-30,11.1,11.35,10.92,11.06,1433363,psxdata,2026-05-11T12:53:30
SLGL,2024-05-02,10.9,11.09,10.75,10.86,463484,psxdata,2026-05-11T12:53:30
SLGL,2024-05-03,10.75,10.89,10.0,10.66,2908899,psxdata,2026-05-11T12:53:30
SLGL,2024-05-06,10.5,10.79,9.8,10.55,1811510,psxdata,2026-05-11T12:53:30
SLGL,2024-05-07,10.48,10.55,9.55,9.64,6320298,psxdata,2026-05-11T12:53:30
SLGL,2024-05-08,9.74,9.96,8.95,9.71,22724626,psxdata,2026-05-11T12:53:30
SLGL,2024-05-09,9.8,10.29,9.5,9.84,11093008,psxdata,2026-05-11T12:53:30
SLGL,2024-05-10,9.91,9.91,9.12,9.28,3926912,psxdata,2026-05-11T12:53:30
SLGL,2024-05-13,9.39,9.84,9.24,9.44,3479078,psxdata,2026-05-11T12:53:30
SLGL,2024-05-14,9.42,9.6,9.29,9.35,556500,psxdata,2026-05-11T12:53:30
SLGL,2024-05-15,9.31,9.6,9.31,9.41,488709,psxdata,2026-05-11T12:53:30
SLGL,2024-05-16,9.3,9.5,9.2,9.28,493004,psxdata,2026-05-11T12:53:30
SLGL,2024-05-17,9.33,9.4,9.2,9.25,356134,psxdata,2026-05-11T12:53:30
SLGL,2024-05-20,9.29,9.29,8.99,9.01,420723,psxdata,2026-05-11T12:53:30
SLGL,2024-05-21,8.98,9.01,8.75,8.78,1221589,psxdata,2026-05-11T12:53:30
SLGL,2024-05-22,8.62,8.97,8.3,8.62,802613,psxdata,2026-05-11T12:53:30
