symbol,date,open,high,low,close,volume,source,collected_at
SNBL,2016-05-11,13.8,13.83,13.0,13.66,232000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-12,13.7,13.78,13.7,13.77,9500,psxdata,2026-05-11T12:56:23
SNBL,2016-05-13,13.77,13.8,13.75,13.75,80000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-16,13.5,13.77,13.5,13.77,5500,psxdata,2026-05-11T12:56:23
SNBL,2016-05-17,13.66,13.75,13.66,13.7,350500,psxdata,2026-05-11T12:56:23
SNBL,2016-05-18,13.45,13.75,13.45,13.75,248000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-19,13.7,13.75,13.65,13.74,29000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-20,13.75,13.75,13.6,13.61,401500,psxdata,2026-05-11T12:56:23
SNBL,2016-05-23,13.88,14.0,13.71,13.75,101000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-24,13.66,14.0,13.65,13.99,377500,psxdata,2026-05-11T12:56:23
SNBL,2016-05-25,13.98,13.98,13.76,13.76,4000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-26,13.85,13.99,13.8,13.8,30000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-27,13.76,14.0,13.75,13.76,227000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-30,13.71,13.75,13.7,13.75,55000,psxdata,2026-05-11T12:56:23
SNBL,2016-05-31,13.75,13.75,13.75,13.75,4000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-01,13.95,13.97,13.66,13.66,10500,psxdata,2026-05-11T12:56:23
SNBL,2016-06-02,13.94,13.99,13.61,13.85,31500,psxdata,2026-05-11T12:56:23
SNBL,2016-06-03,13.85,13.85,13.71,13.75,76000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-06,13.75,13.75,13.55,13.75,90500,psxdata,2026-05-11T12:56:23
SNBL,2016-06-07,13.75,13.75,13.72,13.75,90000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-08,13.7,13.75,13.7,13.7,26000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-09,13.6,13.75,13.6,13.72,82500,psxdata,2026-05-11T12:56:23
SNBL,2016-06-10,13.6,13.6,13.55,13.58,75000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-13,13.65,13.65,13.65,13.65,222000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-14,13.55,13.7,13.55,13.7,215500,psxdata,2026-05-11T12:56:23
SNBL,2016-06-15,13.65,13.7,13.65,13.7,204000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-16,13.7,13.75,13.7,13.75,14500,psxdata,2026-05-11T12:56:23
SNBL,2016-06-17,13.9,13.97,13.9,13.95,5000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-20,13.7,14.0,13.7,13.75,10000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-21,13.65,13.75,13.65,13.75,13000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-22,13.7,13.75,13.7,13.75,30000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-23,13.8,13.8,13.75,13.75,7000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-24,13.7,13.75,13.7,13.75,40000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-27,13.75,13.75,13.75,13.75,500,psxdata,2026-05-11T12:56:23
SNBL,2016-06-28,13.9,14.0,13.52,13.87,43000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-29,13.8,14.0,13.8,14.0,16000,psxdata,2026-05-11T12:56:23
SNBL,2016-06-30,13.7,14.5,13.7,14.22,124500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-04,14.09,14.09,13.91,13.91,3000,psxdata,2026-05-11T12:56:23
SNBL,2016-07-11,13.81,13.81,13.7,13.76,50500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-12,13.75,13.75,13.75,13.75,1500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-13,13.95,13.95,13.75,13.75,216500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-14,13.75,13.85,13.75,13.75,221500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-15,13.75,13.98,13.7,13.75,22500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-18,13.61,13.75,13.52,13.75,9500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-19,13.75,13.75,13.75,13.75,20000,psxdata,2026-05-11T12:56:23
SNBL,2016-07-20,13.53,13.74,13.53,13.74,1000,psxdata,2026-05-11T12:56:23
SNBL,2016-07-21,13.94,13.98,13.7,13.75,165500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-22,13.53,13.56,13.53,13.56,1500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-25,13.57,13.6,13.57,13.6,1500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-26,13.6,13.75,13.6,13.75,22000,psxdata,2026-05-11T12:56:23
SNBL,2016-07-27,13.6,13.6,13.6,13.6,500,psxdata,2026-05-11T12:56:23
SNBL,2016-07-28,13.7,13.75,13.65,13.75,120000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-01,13.74,14.1,13.74,14.0,496500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-02,14.0,14.19,14.0,14.02,63000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-03,14.0,14.0,13.8,14.0,21500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-04,13.9,14.01,13.9,14.0,332000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-05,14.1,14.25,13.94,14.0,268000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-08,13.9,14.0,13.75,13.94,10530500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-09,14.15,14.5,13.95,13.95,22000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-10,14.0,14.0,13.95,13.95,7500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-11,13.95,13.95,13.8,13.82,41500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-12,13.4,13.58,13.4,13.58,2000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-15,13.72,13.89,13.71,13.85,50500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-16,13.99,13.99,13.75,13.8,27000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-17,13.76,13.99,13.63,13.63,37000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-18,13.99,14.0,13.7,13.8,75500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-19,13.7,13.72,13.65,13.65,16500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-22,13.85,13.85,13.66,13.75,21000,psxdata,2026-05-11T12:56:23
SNBL,2016-08-24,13.8,13.8,13.8,13.8,12500,psxdata,2026-05-11T12:56:23
SNBL,2016-08-25,13.85,13.98,13.8,13.92,19500,psxdata,2026-05-11T12:56:23
