symbol,date,open,high,low,close,volume,source,collected_at
SNGP,2016-05-11,36.65,36.9,35.8,36.0,12129500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-12,35.99,36.49,35.2,35.42,11764500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-13,35.35,36.4,34.9,36.22,14603500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-16,36.35,36.78,35.85,36.15,8683500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-17,36.25,36.46,35.2,35.5,5381500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-18,35.5,35.74,34.9,35.29,6352500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-19,35.54,36.5,35.31,36.22,11842000,psxdata,2026-05-11T12:54:37
SNGP,2016-05-20,36.59,36.74,35.9,36.31,11133500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-23,36.72,37.95,36.35,37.72,19674500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-24,37.85,38.73,37.75,37.93,15751000,psxdata,2026-05-11T12:54:37
SNGP,2016-05-25,38.1,38.34,37.5,37.6,4734000,psxdata,2026-05-11T12:54:37
SNGP,2016-05-26,37.5,37.69,36.71,36.87,4613500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-27,36.9,37.86,36.75,37.48,9009500,psxdata,2026-05-11T12:54:37
SNGP,2016-05-30,37.26,37.65,36.2,36.36,4596000,psxdata,2026-05-11T12:54:37
SNGP,2016-05-31,36.35,37.09,34.55,35.07,14999500,psxdata,2026-05-11T12:54:37
SNGP,2016-06-01,35.32,36.55,35.05,36.34,8389500,psxdata,2026-05-11T12:54:37
SNGP,2016-06-02,36.5,36.94,36.22,36.69,7321000,psxdata,2026-05-11T12:54:37
SNGP,2016-06-03,36.7,37.95,36.62,37.61,13883500,psxdata,2026-05-11T12:54:37
SNGP,2016-06-06,36.98,37.94,36.51,37.66,6310500,psxdata,2026-05-11T12:54:37
SNGP,2016-06-07,37.8,37.92,37.0,37.12,1448500,psxdata,2026-05-11T12:54:37
