symbol,date,open,high,low,close,volume,source,collected_at
SSGC,2016-05-11,31.0,31.19,30.3,30.47,4097000,psxdata,2026-05-11T12:51:21
SSGC,2016-05-12,30.4,30.62,29.81,30.04,2723500,psxdata,2026-05-11T12:51:21
SSGC,2016-05-13,30.1,30.4,29.7,29.89,2288000,psxdata,2026-05-11T12:51:21
SSGC,2016-05-16,29.94,30.2,29.7,30.04,3314500,psxdata,2026-05-11T12:51:21
SSGC,2016-05-17,30.19,30.43,29.4,29.49,3318500,psxdata,2026-05-11T12:51:21
SSGC,2016-05-18,29.5,29.8,29.17,29.43,1336000,psxdata,2026-05-11T12:51:21
SSGC,2016-05-19,29.53,30.9,29.5,30.71,6559000,psxdata,2026-05-11T12:51:21
SSGC,2016-05-20,30.93,31.69,30.7,31.03,9515000,psxdata,2026-05-11T12:51:21
SSGC,2016-05-23,31.25,31.49,30.8,31.09,4540000,psxdata,2026-05-11T12:51:21
SSGC,2016-05-24,31.25,31.49,30.9,30.98,3957000,psxdata,2026-05-11T12:51:21
SSGC,2016-05-25,30.98,31.29,30.51,30.67,3885500,psxdata,2026-05-11T12:51:21
SSGC,2016-05-26,30.8,30.8,30.0,30.12,1530000,psxdata,2026-05-11T12:51:21
SSGC,2016-05-27,30.12,30.55,29.95,30.02,2324500,psxdata,2026-05-11T12:51:21
SSGC,2016-05-30,29.89,30.18,28.76,29.22,1647500,psxdata,2026-05-11T12:51:21
SSGC,2016-05-31,29.88,29.88,27.76,27.88,4406000,psxdata,2026-05-11T12:51:21
SSGC,2016-06-01,27.88,28.98,27.53,28.87,2847000,psxdata,2026-05-11T12:51:21
SSGC,2016-06-02,28.87,29.1,28.7,28.78,1700000,psxdata,2026-05-11T12:51:21
SSGC,2016-06-03,28.81,29.7,28.8,29.34,3140000,psxdata,2026-05-11T12:51:21
SSGC,2016-06-06,28.8,29.25,28.8,28.83,1201500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-07,28.9,28.94,28.5,28.57,468500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-08,28.51,29.21,28.4,28.74,2176000,psxdata,2026-05-11T12:51:21
SSGC,2016-06-09,28.8,28.9,28.4,28.55,538000,psxdata,2026-05-11T12:51:21
SSGC,2016-06-10,28.74,28.74,27.57,27.79,904500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-13,28.1,28.1,27.01,27.7,487500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-14,28.1,28.65,27.52,28.33,1556500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-15,28.84,29.29,28.15,28.94,2800500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-16,29.23,29.65,28.52,28.86,5879500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-17,28.9,28.9,28.12,28.25,1843500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-20,27.9,28.35,27.0,28.01,2614500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-21,28.1,28.3,27.82,27.88,894000,psxdata,2026-05-11T12:51:21
SSGC,2016-06-22,27.85,28.09,27.57,27.68,475500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-23,27.8,27.85,27.5,27.73,591000,psxdata,2026-05-11T12:51:21
SSGC,2016-06-24,27.7,27.7,26.35,26.8,2637500,psxdata,2026-05-11T12:51:21
SSGC,2016-06-27,26.52,27.0,26.52,26.74,981000,psxdata,2026-05-11T12:51:21
