symbol,date,open,high,low,close,volume,source,collected_at
STPL,2016-05-11,9.17,9.38,8.82,9.08,1233500,psxdata,2026-05-11T12:54:30
STPL,2016-05-12,9.15,9.75,9.12,9.46,954500,psxdata,2026-05-11T12:54:30
STPL,2016-05-13,9.5,9.67,9.26,9.56,225000,psxdata,2026-05-11T12:54:30
STPL,2016-05-16,9.45,9.52,9.35,9.4,78500,psxdata,2026-05-11T12:54:30
STPL,2016-05-17,9.13,9.57,9.1,9.49,273500,psxdata,2026-05-11T12:54:30
STPL,2016-05-18,9.24,9.54,9.24,9.46,63000,psxdata,2026-05-11T12:54:30
STPL,2016-05-19,9.35,10.44,9.35,10.26,1580500,psxdata,2026-05-11T12:54:30
STPL,2016-05-20,10.49,11.26,10.4,11.24,2550000,psxdata,2026-05-11T12:54:30
STPL,2016-05-23,11.71,11.95,10.95,11.84,1182000,psxdata,2026-05-11T12:54:30
STPL,2016-05-24,11.75,12.45,11.5,12.36,1139500,psxdata,2026-05-11T12:54:30
STPL,2016-05-25,12.4,13.36,12.4,12.82,4487500,psxdata,2026-05-11T12:54:30
STPL,2016-05-26,12.85,13.6,12.55,12.91,2717500,psxdata,2026-05-11T12:54:30
STPL,2016-05-27,12.9,13.25,12.51,13.0,1242500,psxdata,2026-05-11T12:54:30
STPL,2016-05-30,13.35,13.5,12.6,12.65,507000,psxdata,2026-05-11T12:54:30
STPL,2016-05-31,12.43,13.2,12.26,12.48,493000,psxdata,2026-05-11T12:54:30
STPL,2016-06-01,12.9,13.24,12.48,13.09,1148000,psxdata,2026-05-11T12:54:30
STPL,2016-06-02,13.09,13.25,12.4,12.52,410500,psxdata,2026-05-11T12:54:30
STPL,2016-06-03,12.7,12.76,12.21,12.28,87500,psxdata,2026-05-11T12:54:30
STPL,2016-06-06,12.15,12.47,12.1,12.27,119000,psxdata,2026-05-11T12:54:30
STPL,2016-06-07,12.39,12.5,11.7,11.74,104500,psxdata,2026-05-11T12:54:30
STPL,2016-06-08,11.65,11.68,11.4,11.61,105500,psxdata,2026-05-11T12:54:30
STPL,2016-06-09,11.6,11.6,11.2,11.28,56500,psxdata,2026-05-11T12:54:30
STPL,2016-06-10,11.02,11.1,10.32,10.36,427500,psxdata,2026-05-11T12:54:30
STPL,2016-06-13,10.39,10.49,10.1,10.25,81000,psxdata,2026-05-11T12:54:30
STPL,2016-06-14,10.7,10.72,10.31,10.34,146000,psxdata,2026-05-11T12:54:30
STPL,2016-06-15,10.45,10.74,10.34,10.41,85000,psxdata,2026-05-11T12:54:30
STPL,2016-06-16,10.31,10.45,9.84,10.0,238500,psxdata,2026-05-11T12:54:30
STPL,2016-06-17,10.29,10.29,9.6,9.89,301500,psxdata,2026-05-11T12:54:30
