symbol,date,open,high,low,close,volume,source,collected_at
SYM,2023-09-01,4.29,4.3,3.6,4.15,6267000,psxdata,2026-05-11T12:54:33
SYM,2023-09-04,4.19,4.28,4.02,4.11,1226500,psxdata,2026-05-11T12:54:33
SYM,2023-09-05,4.21,4.29,3.95,4.21,4060000,psxdata,2026-05-11T12:54:33
SYM,2023-09-06,4.19,4.19,4.06,4.13,2189500,psxdata,2026-05-11T12:54:33
SYM,2023-09-07,4.15,4.19,4.02,4.07,1690000,psxdata,2026-05-11T12:54:33
SYM,2023-09-08,4.09,4.1,3.93,3.98,692500,psxdata,2026-05-11T12:54:33
SYM,2023-09-11,4.0,4.03,3.8,3.85,425500,psxdata,2026-05-11T12:54:33
SYM,2023-09-12,3.87,3.87,3.53,3.59,923500,psxdata,2026-05-11T12:54:33
SYM,2023-09-13,3.51,3.65,3.37,3.4,1401500,psxdata,2026-05-11T12:54:33
SYM,2023-09-14,3.5,3.51,3.42,3.49,229000,psxdata,2026-05-11T12:54:33
SYM,2023-09-15,3.57,3.65,3.49,3.53,737000,psxdata,2026-05-11T12:54:33
SYM,2023-09-18,3.55,3.74,3.51,3.67,1034000,psxdata,2026-05-11T12:54:33
SYM,2023-09-19,3.6,3.69,3.53,3.61,430000,psxdata,2026-05-11T12:54:33
SYM,2023-09-20,3.68,3.69,3.52,3.58,334500,psxdata,2026-05-11T12:54:33
SYM,2023-09-21,3.66,3.93,3.6,3.85,5385000,psxdata,2026-05-11T12:54:33
SYM,2023-09-22,3.9,4.0,3.9,3.91,1318500,psxdata,2026-05-11T12:54:33
SYM,2023-09-25,3.96,3.96,3.7,3.76,911500,psxdata,2026-05-11T12:54:33
SYM,2023-09-26,3.71,3.83,3.66,3.69,312500,psxdata,2026-05-11T12:54:33
SYM,2023-09-27,3.71,3.84,3.69,3.74,76500,psxdata,2026-05-11T12:54:33
SYM,2023-09-28,3.71,3.78,3.66,3.67,99500,psxdata,2026-05-11T12:54:33
SYM,2023-10-02,3.72,3.76,3.63,3.67,124500,psxdata,2026-05-11T12:54:33
SYM,2023-10-03,3.65,3.69,3.55,3.57,554500,psxdata,2026-05-11T12:54:33
SYM,2023-10-04,3.65,3.65,3.57,3.59,137000,psxdata,2026-05-11T12:54:33
SYM,2023-10-05,3.63,3.7,3.55,3.65,887500,psxdata,2026-05-11T12:54:33
SYM,2023-10-06,3.6,3.72,3.55,3.62,564000,psxdata,2026-05-11T12:54:33
SYM,2023-10-09,3.55,4.0,3.52,3.72,3062000,psxdata,2026-05-11T12:54:33
SYM,2023-10-10,3.8,3.97,3.72,3.76,2732500,psxdata,2026-05-11T12:54:33
SYM,2023-10-11,3.8,3.84,3.68,3.73,979500,psxdata,2026-05-11T12:54:33
SYM,2023-10-12,3.8,3.8,3.57,3.61,855500,psxdata,2026-05-11T12:54:33
SYM,2023-10-13,3.62,3.89,3.57,3.74,1141000,psxdata,2026-05-11T12:54:33
SYM,2023-10-16,3.8,3.8,3.6,3.62,806500,psxdata,2026-05-11T12:54:33
SYM,2023-10-17,3.74,3.75,3.6,3.61,370500,psxdata,2026-05-11T12:54:33
