symbol,date,open,high,low,close,volume,source,collected_at
SYS,2016-05-11,55.6,58.27,55.6,58.17,1420500,psxdata,2026-05-11T12:54:45
SYS,2016-05-12,57.74,58.0,57.0,57.15,107500,psxdata,2026-05-11T12:54:45
SYS,2016-05-13,57.5,57.9,56.51,57.2,99000,psxdata,2026-05-11T12:54:45
SYS,2016-05-16,56.51,57.99,56.51,57.51,330500,psxdata,2026-05-11T12:54:45
SYS,2016-05-17,57.55,58.0,56.95,57.35,66500,psxdata,2026-05-11T12:54:45
SYS,2016-05-18,57.1,57.1,56.66,56.88,7000,psxdata,2026-05-11T12:54:45
SYS,2016-05-19,57.0,57.0,56.2,56.44,275000,psxdata,2026-05-11T12:54:45
SYS,2016-05-20,56.88,57.35,56.26,57.16,577500,psxdata,2026-05-11T12:54:45
SYS,2016-05-23,57.98,58.98,57.32,57.53,337500,psxdata,2026-05-11T12:54:45
SYS,2016-05-24,57.0,60.4,57.0,59.32,735500,psxdata,2026-05-11T12:54:45
SYS,2016-05-25,59.2,59.91,58.25,58.43,82000,psxdata,2026-05-11T12:54:45
SYS,2016-05-26,58.85,59.01,57.9,58.02,219500,psxdata,2026-05-11T12:54:45
SYS,2016-05-27,58.1,59.6,57.75,58.98,193500,psxdata,2026-05-11T12:54:45
SYS,2016-05-30,58.8,58.8,57.5,57.93,510500,psxdata,2026-05-11T12:54:45
SYS,2016-05-31,57.24,58.05,56.8,56.99,192500,psxdata,2026-05-11T12:54:45
SYS,2016-06-01,57.48,57.8,56.75,57.2,178500,psxdata,2026-05-11T12:54:45
SYS,2016-06-02,57.6,60.06,57.5,59.81,1127000,psxdata,2026-05-11T12:54:45
SYS,2016-06-03,60.0,61.5,59.1,61.0,1314500,psxdata,2026-05-11T12:54:45
SYS,2016-06-06,61.5,62.6,59.01,60.17,359500,psxdata,2026-05-11T12:54:45
SYS,2016-06-07,59.25,59.6,58.5,58.91,42000,psxdata,2026-05-11T12:54:45
SYS,2016-06-08,57.43,59.4,57.43,58.75,97500,psxdata,2026-05-11T12:54:45
SYS,2016-06-09,59.25,59.25,58.4,58.45,30000,psxdata,2026-05-11T12:54:45
SYS,2016-06-10,58.16,59.0,57.8,57.97,44500,psxdata,2026-05-11T12:54:45
SYS,2016-06-13,57.26,57.5,57.0,57.13,30000,psxdata,2026-05-11T12:54:45
SYS,2016-06-14,57.51,58.5,57.51,58.45,40000,psxdata,2026-05-11T12:54:45
SYS,2016-06-15,58.5,59.1,58.25,58.62,87000,psxdata,2026-05-11T12:54:45
SYS,2016-06-16,57.75,58.75,57.75,58.19,322000,psxdata,2026-05-11T12:54:45
SYS,2016-06-17,58.0,58.75,57.52,58.33,18500,psxdata,2026-05-11T12:54:45
SYS,2016-06-20,58.5,59.0,58.25,58.9,162500,psxdata,2026-05-11T12:54:45
SYS,2016-06-21,59.0,59.0,58.35,59.0,12500,psxdata,2026-05-11T12:54:45
SYS,2016-06-22,58.0,59.0,58.0,58.56,303500,psxdata,2026-05-11T12:54:45
SYS,2016-06-23,58.01,58.5,58.0,58.23,129500,psxdata,2026-05-11T12:54:45
SYS,2016-06-24,57.12,58.0,56.0,57.9,99000,psxdata,2026-05-11T12:54:45
SYS,2016-06-27,57.0,57.25,57.0,57.12,11000,psxdata,2026-05-11T12:54:45
