symbol,date,open,high,low,close,volume,source,collected_at
TBL,2023-12-15,11.0,11.0,11.0,11.0,1172500,psxdata,2026-05-11T12:54:02
TBL,2023-12-18,12.0,12.0,12.0,12.0,3000,psxdata,2026-05-11T12:54:02
TBL,2023-12-19,13.0,13.0,13.0,13.0,50000,psxdata,2026-05-11T12:54:02
TBL,2023-12-20,14.0,14.0,14.0,14.0,836500,psxdata,2026-05-11T12:54:02
TBL,2023-12-21,15.05,15.05,15.05,15.05,1585500,psxdata,2026-05-11T12:54:02
TBL,2023-12-22,16.18,16.18,16.18,16.18,389000,psxdata,2026-05-11T12:54:02
TBL,2023-12-26,17.39,17.39,17.39,17.39,54500,psxdata,2026-05-11T12:54:02
TBL,2023-12-27,18.69,18.69,18.69,18.69,41000,psxdata,2026-05-11T12:54:02
TBL,2023-12-28,20.09,20.09,20.09,20.09,5000,psxdata,2026-05-11T12:54:02
TBL,2023-12-29,21.6,21.6,21.6,21.6,199000,psxdata,2026-05-11T12:54:02
TBL,2024-01-01,23.22,23.22,23.22,23.22,27000,psxdata,2026-05-11T12:54:02
TBL,2024-01-02,24.96,24.96,24.96,24.96,28500,psxdata,2026-05-11T12:54:02
TBL,2024-01-03,26.83,26.83,26.83,26.83,59500,psxdata,2026-05-11T12:54:02
TBL,2024-01-04,28.84,28.84,28.84,28.84,117500,psxdata,2026-05-11T12:54:02
TBL,2024-01-05,30.5,31.0,28.84,31.0,1985500,psxdata,2026-05-11T12:54:02
TBL,2024-01-08,33.33,33.33,31.86,33.33,2194500,psxdata,2026-05-11T12:54:02
TBL,2024-01-09,34.74,35.83,34.0,35.83,490000,psxdata,2026-05-11T12:54:02
TBL,2024-01-10,38.52,38.52,38.52,38.52,27500,psxdata,2026-05-11T12:54:02
TBL,2024-01-11,41.41,41.41,41.41,41.41,54500,psxdata,2026-05-11T12:54:02
TBL,2024-01-12,44.52,44.52,44.52,44.52,50500,psxdata,2026-05-11T12:54:02
TBL,2024-01-15,47.86,47.86,47.86,47.86,11500,psxdata,2026-05-11T12:54:02
TBL,2024-01-16,51.45,51.45,51.45,51.45,107500,psxdata,2026-05-11T12:54:02
TBL,2024-01-17,55.31,55.31,55.31,55.31,26000,psxdata,2026-05-11T12:54:02
TBL,2024-01-18,59.46,59.46,59.46,59.46,109000,psxdata,2026-05-11T12:54:02
TBL,2024-01-19,63.92,63.92,55.0,55.0,1098500,psxdata,2026-05-11T12:54:02
TBL,2024-01-22,50.88,50.88,50.88,50.88,16000,psxdata,2026-05-11T12:54:02
TBL,2024-01-23,47.06,47.06,47.06,47.06,10500,psxdata,2026-05-11T12:54:02
TBL,2024-01-24,43.53,43.53,43.53,43.53,20500,psxdata,2026-05-11T12:54:02
TBL,2024-01-25,40.27,40.27,40.27,40.27,22000,psxdata,2026-05-11T12:54:02
TBL,2024-01-26,37.25,43.29,37.25,43.29,3212000,psxdata,2026-05-11T12:54:02
TBL,2024-01-29,45.97,46.54,42.0,46.54,1716000,psxdata,2026-05-11T12:54:02
TBL,2024-01-30,47.89,48.99,43.05,43.05,2162000,psxdata,2026-05-11T12:54:02
TBL,2024-01-31,41.1,43.48,39.82,39.82,582000,psxdata,2026-05-11T12:54:02
TBL,2024-02-01,38.02,40.95,36.84,38.11,1778500,psxdata,2026-05-11T12:54:02
TBL,2024-02-02,38.29,39.5,37.4,37.69,366500,psxdata,2026-05-11T12:54:02
TBL,2024-02-06,37.41,38.17,36.56,36.93,350000,psxdata,2026-05-11T12:54:02
TBL,2024-02-07,37.02,39.7,37.02,39.7,330000,psxdata,2026-05-11T12:54:02
TBL,2024-02-09,39.99,39.99,36.72,37.62,1007000,psxdata,2026-05-11T12:54:02
TBL,2024-02-12,37.62,39.99,37.5,37.88,558500,psxdata,2026-05-11T12:54:02
TBL,2024-02-13,37.88,40.72,36.25,40.72,657500,psxdata,2026-05-11T12:54:02
TBL,2024-02-14,42.7,43.25,41.01,41.76,542500,psxdata,2026-05-11T12:54:02
TBL,2024-02-15,41.3,41.8,39.0,39.17,438000,psxdata,2026-05-11T12:54:02
TBL,2024-02-16,38.75,39.85,37.0,37.97,251500,psxdata,2026-05-11T12:54:02
TBL,2024-02-19,37.6,39.0,37.6,38.74,171500,psxdata,2026-05-11T12:54:02
TBL,2024-02-20,38.7,39.5,37.72,37.89,336500,psxdata,2026-05-11T12:54:02
TBL,2024-02-21,38.39,39.51,37.6,38.48,326000,psxdata,2026-05-11T12:54:02
TBL,2024-02-22,38.69,39.2,38.12,38.34,253000,psxdata,2026-05-11T12:54:02
TBL,2024-02-23,38.15,38.75,37.91,38.0,180500,psxdata,2026-05-11T12:54:02
TBL,2024-02-26,38.0,40.4,38.0,39.04,464000,psxdata,2026-05-11T12:54:02
TBL,2024-02-27,39.04,39.04,36.52,37.29,318500,psxdata,2026-05-11T12:54:02
TBL,2024-02-28,35.98,36.97,35.7,35.89,344500,psxdata,2026-05-11T12:54:02
TBL,2024-02-29,36.45,38.58,36.25,38.58,386000,psxdata,2026-05-11T12:54:02
