symbol,date,open,high,low,close,volume,source,collected_at
THCCL,2016-05-11,28.6,28.6,28.6,28.6,500,psxdata,2026-05-11T12:53:23
THCCL,2016-05-12,28.6,28.6,28.6,28.6,500,psxdata,2026-05-11T12:53:23
THCCL,2016-05-13,29.0,29.0,28.5,28.51,5000,psxdata,2026-05-11T12:53:23
THCCL,2016-05-16,28.75,28.75,28.75,28.75,500,psxdata,2026-05-11T12:53:23
THCCL,2016-05-17,28.55,28.7,28.5,28.5,4500,psxdata,2026-05-11T12:53:23
THCCL,2016-05-19,29.0,29.0,29.0,29.0,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-05-23,29.0,29.0,29.0,29.0,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-05-24,29.5,29.5,29.0,29.0,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-05-25,28.5,29.0,28.3,29.0,9500,psxdata,2026-05-11T12:53:23
THCCL,2016-05-26,29.0,29.0,29.0,29.0,500,psxdata,2026-05-11T12:53:23
THCCL,2016-05-27,30.0,30.4,29.0,29.0,10000,psxdata,2026-05-11T12:53:23
THCCL,2016-05-30,30.0,30.0,30.0,30.0,2000,psxdata,2026-05-11T12:53:23
THCCL,2016-05-31,28.8,28.8,28.8,28.8,1500,psxdata,2026-05-11T12:53:23
THCCL,2016-06-01,28.05,29.3,28.05,29.3,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-06-02,28.52,28.52,28.52,28.52,500,psxdata,2026-05-11T12:53:23
THCCL,2016-06-08,29.6,29.8,29.6,29.7,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-06-09,29.0,29.0,29.0,29.0,500,psxdata,2026-05-11T12:53:23
THCCL,2016-06-13,28.5,28.5,28.45,28.45,2000,psxdata,2026-05-11T12:53:23
THCCL,2016-06-14,28.8,29.0,28.8,29.0,8000,psxdata,2026-05-11T12:53:23
THCCL,2016-06-15,29.0,29.0,29.0,29.0,500,psxdata,2026-05-11T12:53:23
THCCL,2016-06-16,29.45,29.5,29.45,29.5,2500,psxdata,2026-05-11T12:53:23
THCCL,2016-06-17,30.0,30.0,30.0,30.0,9000,psxdata,2026-05-11T12:53:23
THCCL,2016-06-22,29.35,29.35,29.35,29.35,500,psxdata,2026-05-11T12:53:23
THCCL,2016-06-23,29.5,29.5,29.5,29.5,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-06-27,29.1,29.1,29.0,29.0,2500,psxdata,2026-05-11T12:53:23
THCCL,2016-06-28,27.65,28.5,27.65,28.5,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-06-30,29.8,29.92,29.25,29.5,4500,psxdata,2026-05-11T12:53:23
THCCL,2016-07-04,29.5,29.5,29.5,29.5,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-07-12,30.0,30.0,29.0,29.0,27000,psxdata,2026-05-11T12:53:23
THCCL,2016-07-13,28.1,28.51,28.0,28.35,41000,psxdata,2026-05-11T12:53:23
THCCL,2016-07-14,28.25,29.0,28.25,29.0,4000,psxdata,2026-05-11T12:53:23
THCCL,2016-07-18,29.5,29.5,29.1,29.1,1000,psxdata,2026-05-11T12:53:23
THCCL,2016-07-19,29.5,30.0,29.0,29.0,18000,psxdata,2026-05-11T12:53:23
THCCL,2016-07-20,29.0,29.0,29.0,29.0,7000,psxdata,2026-05-11T12:53:23
THCCL,2016-07-25,29.0,29.0,29.0,29.0,7500,psxdata,2026-05-11T12:53:23
THCCL,2016-07-26,29.0,29.4,28.97,29.1,39000,psxdata,2026-05-11T12:53:23
THCCL,2016-07-27,29.5,29.75,29.25,29.25,3000,psxdata,2026-05-11T12:53:23
