symbol,date,open,high,low,close,volume,source,collected_at
TPL,2016-05-11,13.8,13.9,13.6,13.67,2727500,psxdata,2026-05-11T12:53:12
TPL,2016-05-12,13.8,14.36,13.75,14.11,9941000,psxdata,2026-05-11T12:53:12
TPL,2016-05-13,14.27,14.35,13.92,13.97,2663000,psxdata,2026-05-11T12:53:12
TPL,2016-05-16,13.98,14.97,13.98,14.7,12883000,psxdata,2026-05-11T12:53:12
TPL,2016-05-17,14.72,15.08,14.0,14.33,10324500,psxdata,2026-05-11T12:53:12
TPL,2016-05-18,14.47,14.64,14.3,14.39,2424500,psxdata,2026-05-11T12:53:12
TPL,2016-05-19,14.43,14.79,14.3,14.4,6556000,psxdata,2026-05-11T12:53:12
TPL,2016-05-20,14.59,14.68,14.28,14.35,2910000,psxdata,2026-05-11T12:53:12
TPL,2016-05-23,14.48,14.48,14.05,14.11,940500,psxdata,2026-05-11T12:53:12
TPL,2016-05-24,14.19,14.38,14.0,14.21,2026000,psxdata,2026-05-11T12:53:12
TPL,2016-05-25,14.36,14.4,14.1,14.15,1020500,psxdata,2026-05-11T12:53:12
TPL,2016-05-26,14.15,14.33,13.9,13.97,1818000,psxdata,2026-05-11T12:53:12
TPL,2016-05-27,14.1,14.95,13.9,14.82,11861000,psxdata,2026-05-11T12:53:12
TPL,2016-05-30,15.05,15.1,14.3,14.42,6153000,psxdata,2026-05-11T12:53:12
TPL,2016-05-31,14.28,14.65,14.1,14.2,2040000,psxdata,2026-05-11T12:53:12
TPL,2016-06-01,14.28,15.0,14.25,14.86,4258000,psxdata,2026-05-11T12:53:12
TPL,2016-06-02,15.1,15.2,14.6,14.66,4413500,psxdata,2026-05-11T12:53:12
TPL,2016-06-03,14.63,15.12,14.62,14.72,4429000,psxdata,2026-05-11T12:53:12
TPL,2016-06-06,14.64,14.74,14.48,14.5,1108500,psxdata,2026-05-11T12:53:12
TPL,2016-06-07,14.5,14.54,14.31,14.34,346000,psxdata,2026-05-11T12:53:12
TPL,2016-06-08,14.26,14.43,14.16,14.21,614500,psxdata,2026-05-11T12:53:12
TPL,2016-06-09,14.21,14.38,13.91,14.15,1624500,psxdata,2026-05-11T12:53:12
TPL,2016-06-10,14.14,14.14,13.4,13.56,1752000,psxdata,2026-05-11T12:53:12
TPL,2016-06-13,13.64,13.99,13.2,13.81,2421000,psxdata,2026-05-11T12:53:12
TPL,2016-06-14,13.95,14.15,13.75,13.9,2749000,psxdata,2026-05-11T12:53:12
TPL,2016-06-15,14.05,14.2,13.9,13.96,1380500,psxdata,2026-05-11T12:53:12
TPL,2016-06-16,14.09,14.55,14.05,14.13,4219000,psxdata,2026-05-11T12:53:12
TPL,2016-06-17,14.15,14.2,13.91,13.96,465000,psxdata,2026-05-11T12:53:12
TPL,2016-06-20,13.99,14.15,13.73,13.8,957500,psxdata,2026-05-11T12:53:12
TPL,2016-06-21,13.95,14.15,13.75,13.78,1437500,psxdata,2026-05-11T12:53:12
TPL,2016-06-22,13.88,14.09,13.54,13.72,1144000,psxdata,2026-05-11T12:53:12
TPL,2016-06-23,13.6,13.8,13.43,13.75,2355000,psxdata,2026-05-11T12:53:12
TPL,2016-06-24,13.51,13.54,12.75,12.98,4648500,psxdata,2026-05-11T12:53:12
TPL,2016-06-27,12.6,13.08,12.6,12.78,959000,psxdata,2026-05-11T12:53:12
TPL,2016-06-28,12.65,12.8,11.95,12.29,1741000,psxdata,2026-05-11T12:53:12
TPL,2016-06-29,12.51,12.67,12.32,12.59,1160000,psxdata,2026-05-11T12:53:12
TPL,2016-06-30,12.6,12.75,12.5,12.57,1410500,psxdata,2026-05-11T12:53:12
TPL,2016-07-04,12.7,12.81,12.5,12.56,281500,psxdata,2026-05-11T12:53:12
TPL,2016-07-11,12.5,12.79,12.5,12.67,548500,psxdata,2026-05-11T12:53:12
TPL,2016-07-12,12.7,12.85,12.67,12.7,676500,psxdata,2026-05-11T12:53:12
TPL,2016-07-13,12.8,12.84,12.57,12.61,826000,psxdata,2026-05-11T12:53:12
TPL,2016-07-14,12.74,12.74,12.37,12.44,1672500,psxdata,2026-05-11T12:53:12
TPL,2016-07-15,12.4,13.17,12.34,12.99,5352000,psxdata,2026-05-11T12:53:12
TPL,2016-07-18,12.97,13.1,12.8,12.83,902500,psxdata,2026-05-11T12:53:12
TPL,2016-07-19,12.85,12.99,12.7,12.77,1579500,psxdata,2026-05-11T12:53:12
TPL,2016-07-20,12.71,12.75,12.58,12.63,677000,psxdata,2026-05-11T12:53:12
TPL,2016-07-21,12.53,12.82,12.46,12.53,1710000,psxdata,2026-05-11T12:53:12
TPL,2016-07-22,12.6,12.8,12.48,12.7,2953000,psxdata,2026-05-11T12:53:12
TPL,2016-07-25,12.79,12.79,12.37,12.42,2247500,psxdata,2026-05-11T12:53:12
TPL,2016-07-26,12.41,12.55,12.28,12.33,1365000,psxdata,2026-05-11T12:53:12
TPL,2016-07-27,12.26,12.38,12.2,12.23,975000,psxdata,2026-05-11T12:53:12
TPL,2016-07-28,12.24,12.33,11.9,12.04,1676000,psxdata,2026-05-11T12:53:12
TPL,2016-07-29,12.13,12.3,11.81,12.17,2961000,psxdata,2026-05-11T12:53:12
TPL,2016-08-01,12.17,12.45,12.16,12.25,2077500,psxdata,2026-05-11T12:53:12
TPL,2016-08-02,12.39,12.39,12.15,12.24,1015500,psxdata,2026-05-11T12:53:12
TPL,2016-08-03,12.21,12.74,12.2,12.5,3253500,psxdata,2026-05-11T12:53:12
TPL,2016-08-04,12.58,12.93,12.5,12.57,4814500,psxdata,2026-05-11T12:53:12
TPL,2016-08-05,12.6,12.77,12.41,12.46,814500,psxdata,2026-05-11T12:53:12
TPL,2016-08-08,12.5,12.55,12.3,12.42,503000,psxdata,2026-05-11T12:53:12
TPL,2016-08-09,12.41,12.48,12.25,12.27,1547000,psxdata,2026-05-11T12:53:12
TPL,2016-08-10,12.2,12.39,12.17,12.34,1050500,psxdata,2026-05-11T12:53:12
TPL,2016-08-11,12.39,12.45,12.11,12.15,1155500,psxdata,2026-05-11T12:53:12
TPL,2016-08-12,12.2,12.73,12.0,12.43,5354500,psxdata,2026-05-11T12:53:12
TPL,2016-08-15,12.46,13.1,12.4,12.79,7987000,psxdata,2026-05-11T12:53:12
