symbol,date,open,high,low,close,volume,source,collected_at
TPLP,2018-01-11,9.51,9.51,9.51,9.51,500,psxdata,2026-05-11T12:51:25
TPLP,2018-01-12,10.5,10.5,9.0,10.0,51000,psxdata,2026-05-11T12:51:25
TPLP,2018-01-18,10.85,10.85,10.85,10.85,500,psxdata,2026-05-11T12:51:25
TPLP,2018-01-19,10.5,10.5,10.5,10.5,100000,psxdata,2026-05-11T12:51:25
TPLP,2018-01-25,9.55,9.55,9.52,9.53,1500,psxdata,2026-05-11T12:51:25
TPLP,2018-01-26,10.0,10.39,10.0,10.0,54500,psxdata,2026-05-11T12:51:25
TPLP,2018-01-30,9.99,10.0,9.99,10.0,218500,psxdata,2026-05-11T12:51:25
TPLP,2018-01-31,10.0,10.0,10.0,10.0,225000,psxdata,2026-05-11T12:51:25
TPLP,2018-02-01,10.25,10.25,9.0,9.5,1032500,psxdata,2026-05-11T12:51:25
TPLP,2018-02-02,9.7,9.7,9.16,9.23,21500,psxdata,2026-05-11T12:51:25
TPLP,2018-02-06,9.44,9.9,9.44,9.75,20000,psxdata,2026-05-11T12:51:25
TPLP,2018-02-09,9.45,9.5,9.45,9.5,25000,psxdata,2026-05-11T12:51:25
TPLP,2018-02-12,9.3,9.3,9.01,9.01,42000,psxdata,2026-05-11T12:51:25
TPLP,2018-02-13,9.1,9.1,9.0,9.0,9500,psxdata,2026-05-11T12:51:25
TPLP,2018-02-14,9.2,9.2,9.0,9.0,101000,psxdata,2026-05-11T12:51:25
TPLP,2018-02-20,8.8,8.8,8.8,8.8,1000,psxdata,2026-05-11T12:51:25
TPLP,2018-02-23,9.75,9.8,9.69,9.8,142000,psxdata,2026-05-11T12:51:25
TPLP,2018-02-26,10.49,10.75,10.25,10.48,134500,psxdata,2026-05-11T12:51:25
TPLP,2018-02-27,10.3,10.55,9.48,9.53,2024000,psxdata,2026-05-11T12:51:25
TPLP,2018-02-28,9.25,10.32,9.03,10.26,39000,psxdata,2026-05-11T12:51:25
TPLP,2018-03-01,10.6,10.6,10.2,10.37,33000,psxdata,2026-05-11T12:51:25
TPLP,2018-03-02,10.01,10.1,10.01,10.03,2000,psxdata,2026-05-11T12:51:25
TPLP,2018-03-06,9.76,9.76,9.03,9.33,124500,psxdata,2026-05-11T12:51:25
TPLP,2018-03-07,9.2,9.6,9.2,9.6,81500,psxdata,2026-05-11T12:51:25
TPLP,2018-03-08,9.55,9.55,9.55,9.55,500,psxdata,2026-05-11T12:51:25
TPLP,2018-03-12,9.59,9.68,9.59,9.68,3500,psxdata,2026-05-11T12:51:25
