symbol,date,open,high,low,close,volume,source,collected_at
UNITY,2017-10-05,178.1,183.0,177.58,179.74,9500,psxdata,2026-05-11T12:51:33
UNITY,2017-10-06,180.0,188.72,180.0,188.66,11000,psxdata,2026-05-11T12:51:33
UNITY,2017-10-09,197.0,198.09,179.23,185.95,15000,psxdata,2026-05-11T12:51:33
UNITY,2017-10-10,195.2,195.24,176.66,176.7,162000,psxdata,2026-05-11T12:51:33
UNITY,2017-10-16,17.74,17.74,17.74,17.74,500,psxdata,2026-05-11T12:51:33
UNITY,2017-10-17,18.74,18.74,18.74,18.74,16500,psxdata,2026-05-11T12:51:33
UNITY,2017-10-18,19.74,19.74,19.74,19.74,10500,psxdata,2026-05-11T12:51:33
UNITY,2017-10-19,20.74,20.74,20.74,20.74,3500,psxdata,2026-05-11T12:51:33
UNITY,2017-10-20,21.77,21.77,21.77,21.77,8500,psxdata,2026-05-11T12:51:33
UNITY,2017-10-23,22.85,22.85,22.85,22.85,3500,psxdata,2026-05-11T12:51:33
UNITY,2017-10-24,23.99,23.99,23.99,23.99,1500,psxdata,2026-05-11T12:51:33
UNITY,2017-10-25,25.18,25.18,23.3,25.18,204000,psxdata,2026-05-11T12:51:33
UNITY,2017-10-26,26.43,26.43,26.1,26.43,45000,psxdata,2026-05-11T12:51:33
UNITY,2017-10-27,26.9,26.9,25.11,25.11,82500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-01,22.91,22.91,22.91,22.91,500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-02,21.77,21.77,21.77,21.77,1000,psxdata,2026-05-11T12:51:33
UNITY,2017-11-03,20.69,20.75,20.69,20.69,12500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-06,21.45,21.7,19.66,20.65,47500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-07,20.95,21.68,20.6,21.57,13000,psxdata,2026-05-11T12:51:33
UNITY,2017-11-08,22.0,22.4,20.5,20.5,60500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-09,20.0,20.0,19.48,19.49,38500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-10,18.65,18.85,18.49,18.49,10500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-13,18.5,18.99,17.49,17.49,130000,psxdata,2026-05-11T12:51:33
UNITY,2017-11-14,17.75,18.49,17.0,18.3,263000,psxdata,2026-05-11T12:51:33
UNITY,2017-11-15,18.9,19.3,18.78,19.3,70000,psxdata,2026-05-11T12:51:33
UNITY,2017-11-16,20.0,20.3,19.75,20.3,28000,psxdata,2026-05-11T12:51:33
UNITY,2017-11-17,21.31,21.31,21.31,21.31,18500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-20,22.37,22.37,20.25,20.25,123500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-21,20.5,21.26,20.5,21.26,26500,psxdata,2026-05-11T12:51:33
UNITY,2017-11-22,22.32,22.32,22.32,22.32,2500,psxdata,2026-05-11T12:51:33
