symbol,date,open,high,low,close,volume,source,collected_at
WASL,2016-05-11,1.44,1.49,1.41,1.42,5000,psxdata,2026-05-11T12:53:39
WASL,2016-05-12,1.5,1.5,1.42,1.42,6500,psxdata,2026-05-11T12:53:39
WASL,2016-05-13,1.42,1.5,1.4,1.49,54500,psxdata,2026-05-11T12:53:39
WASL,2016-05-17,1.45,1.45,1.41,1.43,46000,psxdata,2026-05-11T12:53:39
WASL,2016-05-19,1.48,1.49,1.48,1.49,21500,psxdata,2026-05-11T12:53:39
WASL,2016-05-20,1.48,1.48,1.48,1.48,10500,psxdata,2026-05-11T12:53:39
WASL,2016-05-23,1.45,1.45,1.45,1.45,500,psxdata,2026-05-11T12:53:39
WASL,2016-05-24,1.49,1.49,1.45,1.45,32500,psxdata,2026-05-11T12:53:39
WASL,2016-05-25,1.48,1.48,1.48,1.48,2000,psxdata,2026-05-11T12:53:39
WASL,2016-05-26,1.42,1.49,1.42,1.47,7500,psxdata,2026-05-11T12:53:39
WASL,2016-05-27,1.46,1.46,1.46,1.46,500,psxdata,2026-05-11T12:53:39
WASL,2016-05-31,1.48,1.48,1.48,1.48,26000,psxdata,2026-05-11T12:53:39
WASL,2016-06-01,1.5,1.5,1.4,1.45,3500,psxdata,2026-05-11T12:53:39
WASL,2016-06-02,1.5,1.5,1.45,1.48,27000,psxdata,2026-05-11T12:53:39
WASL,2016-06-03,1.5,1.85,1.4,1.49,37000,psxdata,2026-05-11T12:53:39
WASL,2016-06-06,1.42,1.48,1.42,1.48,23500,psxdata,2026-05-11T12:53:39
WASL,2016-06-08,1.48,1.48,1.48,1.48,500,psxdata,2026-05-11T12:53:39
WASL,2016-06-15,1.4,1.4,1.37,1.38,15500,psxdata,2026-05-11T12:53:39
WASL,2016-06-16,1.4,1.4,1.4,1.4,10000,psxdata,2026-05-11T12:53:39
WASL,2016-06-22,1.45,1.5,1.31,1.4,37000,psxdata,2026-05-11T12:53:39
WASL,2016-06-28,1.34,1.4,1.34,1.4,54000,psxdata,2026-05-11T12:53:39
WASL,2016-06-30,1.4,1.4,1.35,1.35,45500,psxdata,2026-05-11T12:53:39
WASL,2016-07-11,1.4,1.4,1.4,1.4,1500,psxdata,2026-05-11T12:53:39
WASL,2016-07-12,1.4,1.4,1.4,1.4,17500,psxdata,2026-05-11T12:53:39
WASL,2016-07-13,1.35,1.4,1.35,1.39,4500,psxdata,2026-05-11T12:53:39
WASL,2016-07-14,1.4,1.4,1.4,1.4,15000,psxdata,2026-05-11T12:53:39
WASL,2016-07-15,1.4,1.4,1.4,1.4,18500,psxdata,2026-05-11T12:53:39
WASL,2016-07-18,1.4,1.4,1.4,1.4,42500,psxdata,2026-05-11T12:53:39
WASL,2016-07-19,1.4,1.4,1.4,1.4,11000,psxdata,2026-05-11T12:53:39
WASL,2016-07-20,1.4,1.4,1.4,1.4,1500,psxdata,2026-05-11T12:53:39
WASL,2016-07-21,1.4,1.4,1.4,1.4,500,psxdata,2026-05-11T12:53:39
WASL,2016-07-26,1.4,1.4,1.39,1.39,30500,psxdata,2026-05-11T12:53:39
WASL,2016-07-27,1.4,1.4,1.4,1.4,8000,psxdata,2026-05-11T12:53:39
WASL,2016-07-28,1.4,1.4,1.25,1.3,9000,psxdata,2026-05-11T12:53:39
WASL,2016-08-01,1.35,1.4,1.35,1.4,3000,psxdata,2026-05-11T12:53:39
WASL,2016-08-02,1.4,1.4,1.4,1.4,11500,psxdata,2026-05-11T12:53:39
WASL,2016-08-03,1.4,1.4,1.4,1.4,15000,psxdata,2026-05-11T12:53:39
WASL,2016-08-05,1.38,1.39,1.38,1.39,11000,psxdata,2026-05-11T12:53:39
WASL,2016-08-08,1.39,1.4,1.39,1.4,5500,psxdata,2026-05-11T12:53:39
WASL,2016-08-09,1.22,1.37,1.21,1.37,6500,psxdata,2026-05-11T12:53:39
WASL,2016-08-10,1.4,1.4,1.39,1.39,2000,psxdata,2026-05-11T12:53:39
WASL,2016-08-11,1.4,1.45,1.39,1.4,193000,psxdata,2026-05-11T12:53:39
WASL,2016-08-12,1.65,1.65,1.36,1.38,24000,psxdata,2026-05-11T12:53:39
WASL,2016-08-15,1.4,1.4,1.4,1.4,3500,psxdata,2026-05-11T12:53:39
WASL,2016-08-16,1.32,1.4,1.32,1.4,4500,psxdata,2026-05-11T12:53:39
WASL,2016-08-17,1.32,1.4,1.32,1.4,52500,psxdata,2026-05-11T12:53:39
WASL,2016-08-18,1.4,1.4,1.32,1.4,40500,psxdata,2026-05-11T12:53:39
WASL,2016-08-22,1.34,1.34,1.32,1.33,14000,psxdata,2026-05-11T12:53:39
WASL,2016-08-23,1.39,1.5,1.35,1.5,13000,psxdata,2026-05-11T12:53:39
WASL,2016-08-24,1.4,1.71,1.4,1.49,727500,psxdata,2026-05-11T12:53:39
WASL,2016-08-25,1.51,1.75,1.49,1.58,145000,psxdata,2026-05-11T12:53:39
WASL,2016-08-26,1.64,1.78,1.55,1.67,49500,psxdata,2026-05-11T12:53:39
WASL,2016-08-29,1.6,1.7,1.5,1.54,148000,psxdata,2026-05-11T12:53:39
WASL,2016-08-30,1.53,1.64,1.5,1.6,29000,psxdata,2026-05-11T12:53:39
WASL,2016-08-31,1.6,1.6,1.57,1.59,53000,psxdata,2026-05-11T12:53:39
WASL,2016-09-01,1.69,1.69,1.59,1.63,2500,psxdata,2026-05-11T12:53:39
WASL,2016-09-02,1.6,1.65,1.55,1.63,41500,psxdata,2026-05-11T12:53:39
WASL,2016-09-05,1.55,1.63,1.51,1.55,17000,psxdata,2026-05-11T12:53:39
WASL,2016-09-06,1.55,1.65,1.55,1.65,58000,psxdata,2026-05-11T12:53:39
WASL,2016-09-07,1.55,1.75,1.2,1.6,48500,psxdata,2026-05-11T12:53:39
WASL,2016-09-08,1.68,1.68,1.55,1.6,19500,psxdata,2026-05-11T12:53:39
WASL,2016-09-09,1.6,1.64,1.53,1.6,52000,psxdata,2026-05-11T12:53:39
WASL,2016-09-15,1.6,1.76,1.6,1.75,40000,psxdata,2026-05-11T12:53:39
WASL,2016-09-16,1.75,1.79,1.7,1.72,48000,psxdata,2026-05-11T12:53:39
WASL,2016-09-19,2.0,2.0,1.72,1.84,160500,psxdata,2026-05-11T12:53:39
WASL,2016-09-20,1.92,1.95,1.8,1.86,47000,psxdata,2026-05-11T12:53:39
WASL,2016-09-21,1.85,1.9,1.67,1.73,53000,psxdata,2026-05-11T12:53:39
WASL,2016-09-22,1.8,2.15,1.61,1.93,73000,psxdata,2026-05-11T12:53:39
WASL,2016-09-23,1.83,2.2,1.83,2.0,469500,psxdata,2026-05-11T12:53:39
WASL,2016-09-26,2.0,2.15,2.0,2.05,124000,psxdata,2026-05-11T12:53:39
WASL,2016-09-27,2.05,2.1,1.9,2.01,98500,psxdata,2026-05-11T12:53:39
WASL,2016-09-28,1.91,2.0,1.91,2.0,24000,psxdata,2026-05-11T12:53:39
WASL,2016-09-29,1.95,2.0,1.85,1.94,46000,psxdata,2026-05-11T12:53:39
WASL,2016-09-30,1.94,2.09,1.91,2.03,9500,psxdata,2026-05-11T12:53:39
WASL,2016-10-03,1.85,2.01,1.85,2.0,70000,psxdata,2026-05-11T12:53:39
WASL,2016-10-04,2.0,2.0,2.0,2.0,24000,psxdata,2026-05-11T12:53:39
WASL,2016-10-05,2.0,2.0,1.96,1.96,6500,psxdata,2026-05-11T12:53:39
WASL,2016-10-06,2.09,2.09,2.0,2.01,27000,psxdata,2026-05-11T12:53:39
WASL,2016-10-07,2.0,2.29,1.95,2.1,269000,psxdata,2026-05-11T12:53:39
WASL,2016-10-10,2.15,2.19,2.1,2.11,132500,psxdata,2026-05-11T12:53:39
WASL,2016-10-13,2.2,2.35,2.12,2.12,40000,psxdata,2026-05-11T12:53:39
WASL,2016-10-14,2.18,2.2,2.1,2.18,41500,psxdata,2026-05-11T12:53:39
WASL,2016-10-17,2.11,2.11,2.0,2.05,43500,psxdata,2026-05-11T12:53:39
WASL,2016-10-18,2.0,2.06,2.0,2.03,76000,psxdata,2026-05-11T12:53:39
WASL,2016-10-19,2.09,2.13,2.05,2.08,37000,psxdata,2026-05-11T12:53:39
WASL,2016-10-20,2.1,2.17,2.1,2.12,59500,psxdata,2026-05-11T12:53:39
WASL,2016-10-21,2.14,2.15,1.95,2.03,55000,psxdata,2026-05-11T12:53:39
WASL,2016-10-24,2.0,2.0,1.96,1.96,10500,psxdata,2026-05-11T12:53:39
WASL,2016-10-25,1.9,1.96,1.7,1.9,7500,psxdata,2026-05-11T12:53:39
WASL,2016-10-26,1.9,2.28,1.9,2.02,194500,psxdata,2026-05-11T12:53:39
WASL,2016-10-27,2.17,2.17,1.8,1.83,90500,psxdata,2026-05-11T12:53:39
WASL,2016-10-28,1.99,1.99,1.8,1.94,5500,psxdata,2026-05-11T12:53:39
WASL,2016-10-31,1.81,2.0,1.81,1.85,11000,psxdata,2026-05-11T12:53:39
WASL,2016-11-01,1.85,2.0,1.85,2.0,56000,psxdata,2026-05-11T12:53:39
WASL,2016-11-02,1.96,2.28,1.96,2.1,153000,psxdata,2026-05-11T12:53:39
