symbol,date,open,high,low,close,volume,source,collected_at
WAVES,2016-05-11,31.55,32.3,31.31,31.53,531500,psxdata,2026-05-11T12:52:51
WAVES,2016-05-12,31.79,32.38,31.57,31.93,457000,psxdata,2026-05-11T12:52:51
WAVES,2016-05-13,32.39,33.52,32.38,33.52,1494000,psxdata,2026-05-11T12:52:51
WAVES,2016-05-16,34.25,35.0,33.05,33.76,1358500,psxdata,2026-05-11T12:52:51
WAVES,2016-05-17,33.95,35.44,33.1,35.37,1941500,psxdata,2026-05-11T12:52:51
WAVES,2016-05-18,35.5,36.88,34.95,36.7,1893500,psxdata,2026-05-11T12:52:51
WAVES,2016-05-19,37.19,37.25,36.0,36.22,950500,psxdata,2026-05-11T12:52:51
WAVES,2016-05-20,37.24,37.24,36.05,36.82,645000,psxdata,2026-05-11T12:52:51
WAVES,2016-05-23,36.86,37.5,36.3,36.45,830000,psxdata,2026-05-11T12:52:51
WAVES,2016-05-24,36.5,37.1,35.89,36.17,528000,psxdata,2026-05-11T12:52:51
WAVES,2016-05-25,36.51,37.87,36.01,36.94,1397500,psxdata,2026-05-11T12:52:51
WAVES,2016-05-26,37.43,37.48,36.0,36.18,477000,psxdata,2026-05-11T12:52:51
WAVES,2016-05-27,36.15,37.35,35.9,37.1,1028500,psxdata,2026-05-11T12:52:51
WAVES,2016-05-30,37.4,37.4,35.25,35.28,897500,psxdata,2026-05-11T12:52:51
WAVES,2016-05-31,35.0,36.08,33.52,34.0,730500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-01,34.45,35.0,34.22,34.59,334500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-02,34.96,35.23,34.16,34.35,427500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-03,33.95,34.55,33.13,33.39,572500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-06,33.5,35.05,32.99,34.19,925500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-07,34.2,34.6,33.61,33.73,243500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-08,34.0,34.25,33.8,33.92,117000,psxdata,2026-05-11T12:52:51
WAVES,2016-06-09,34.05,34.29,32.23,32.4,577500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-10,32.6,32.85,30.78,30.79,510500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-13,29.61,31.6,29.5,31.14,339000,psxdata,2026-05-11T12:52:51
WAVES,2016-06-14,31.74,32.34,31.5,31.91,211500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-15,32.34,33.2,31.95,32.51,367500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-16,32.35,33.3,32.35,32.52,280000,psxdata,2026-05-11T12:52:51
WAVES,2016-06-17,32.31,32.69,30.9,30.99,402500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-20,31.5,32.53,30.57,32.38,424500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-21,32.4,33.49,32.21,32.47,292500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-22,32.5,33.25,32.5,32.77,244000,psxdata,2026-05-11T12:52:51
WAVES,2016-06-23,32.8,33.89,32.71,33.6,219000,psxdata,2026-05-11T12:52:51
WAVES,2016-06-24,33.2,33.3,31.92,32.23,373500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-27,31.95,32.65,31.75,31.77,71000,psxdata,2026-05-11T12:52:51
WAVES,2016-06-28,32.0,32.0,30.9,31.05,203000,psxdata,2026-05-11T12:52:51
WAVES,2016-06-29,31.6,32.6,31.5,32.6,507500,psxdata,2026-05-11T12:52:51
WAVES,2016-06-30,32.5,33.25,31.99,32.41,386500,psxdata,2026-05-11T12:52:51
WAVES,2016-07-04,32.9,33.6,32.86,33.21,214500,psxdata,2026-05-11T12:52:51
WAVES,2016-07-11,34.87,34.87,34.15,34.34,489000,psxdata,2026-05-11T12:52:51
