symbol,date,open,high,low,close,volume,source,collected_at
WAVESAPP,2016-05-11,7.66,7.66,7.66,7.66,500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-12,8.2,8.66,8.0,8.04,39000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-16,8.24,8.25,8.0,8.0,7500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-17,8.6,8.6,7.75,8.0,6500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-18,7.53,8.5,7.53,8.38,25500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-19,8.4,8.5,8.3,8.31,57500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-20,8.68,8.68,8.5,8.51,8000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-23,8.66,8.66,8.5,8.5,16000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-24,8.59,9.5,8.5,8.75,120000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-25,8.1,9.35,8.1,9.01,112500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-26,9.85,9.85,8.56,8.73,45500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-27,9.4,9.4,8.81,8.81,79000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-30,9.24,9.49,8.15,8.3,125000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-05-31,8.4,8.89,8.15,8.23,537500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-01,8.45,8.7,8.32,8.65,15000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-02,8.72,8.9,8.55,8.8,107500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-03,8.84,9.44,8.84,9.13,156500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-06,9.15,9.3,8.75,8.84,20500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-07,8.75,9.1,8.02,9.1,60000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-08,8.63,8.86,8.39,8.42,45000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-09,8.25,8.25,8.05,8.1,30500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-10,8.3,8.74,7.75,7.79,72500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-13,8.4,8.7,7.5,8.1,52500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-14,8.05,8.24,7.85,7.95,10000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-15,8.15,8.15,8.15,8.15,500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-16,8.0,8.0,8.0,8.0,3000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-17,8.27,8.27,8.0,8.27,1500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-20,8.0,8.0,8.0,8.0,2500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-21,7.53,7.89,7.53,7.78,4500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-23,7.7,7.77,7.5,7.55,7000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-24,7.11,7.11,6.76,7.0,105000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-27,7.1,7.1,7.1,7.1,2500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-28,7.35,7.35,7.21,7.3,1500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-06-29,7.2,7.38,7.2,7.21,13000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-11,7.49,7.5,7.3,7.5,48500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-12,7.3,7.5,7.26,7.5,10500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-13,7.31,7.31,7.3,7.3,3500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-14,7.45,7.5,7.0,7.4,109000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-15,7.3,7.5,7.02,7.41,36000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-19,7.2,7.2,7.2,7.2,1500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-21,7.5,7.68,7.22,7.25,52500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-25,7.5,7.5,7.3,7.3,20500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-27,7.4,7.4,7.2,7.4,10000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-07-29,7.38,7.4,7.38,7.4,15000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-02,7.49,7.49,7.49,7.49,15000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-03,7.48,7.5,7.25,7.45,41000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-04,7.59,7.59,7.59,7.59,15500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-08,7.25,7.63,7.25,7.63,33500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-09,7.63,7.69,7.63,7.69,7000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-10,7.5,7.69,7.5,7.69,3000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-11,7.4,7.69,7.35,7.69,10500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-15,7.38,7.5,7.3,7.5,25000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-16,7.3,7.75,7.3,7.6,78000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-17,7.61,7.63,7.61,7.63,4000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-18,7.4,7.5,7.4,7.5,18500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-19,7.35,7.35,7.35,7.35,1000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-22,7.7,7.8,7.7,7.8,10500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-25,7.79,8.18,7.79,8.18,20500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-26,7.75,8.18,7.71,7.99,24000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-30,7.6,7.6,7.6,7.6,1000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-08-31,8.15,8.24,7.85,8.19,39000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-01,8.2,8.2,8.1,8.1,4500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-05,8.0,8.0,8.0,8.0,1000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-06,8.0,8.2,7.9,7.99,33000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-07,8.0,8.3,7.9,8.03,75500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-08,8.16,9.03,8.11,9.03,714000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-09,9.5,9.79,8.8,9.07,143500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-15,8.99,8.99,8.6,8.75,5500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-16,9.0,9.75,8.71,9.6,359000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-19,10.34,10.34,9.5,10.25,286500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-20,9.59,9.69,9.25,9.56,47000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-21,9.4,9.4,8.62,8.74,116000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-22,8.99,9.74,8.99,9.74,170500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-23,10.5,10.68,9.5,10.19,51000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-26,10.0,10.5,9.6,9.65,207500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-27,9.52,9.67,9.2,9.43,11500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-28,9.11,9.4,9.02,9.26,31500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-29,9.1,9.1,8.76,8.8,44500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-09-30,9.19,9.8,9.19,9.8,328500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-03,10.6,10.8,9.8,10.8,283000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-04,11.6,11.8,10.6,11.25,640500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-05,10.8,11.5,10.25,10.25,345000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-06,10.7,10.7,9.7,10.25,114500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-07,10.49,10.5,10.49,10.5,3000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-10,10.3,10.85,10.0,10.35,110500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-13,10.48,10.7,9.76,10.36,41500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-14,10.0,10.25,9.75,10.05,41000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-17,9.9,10.19,9.76,10.03,20000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-18,9.71,10.2,9.71,10.15,10500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-19,10.01,10.17,9.75,10.16,3500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-20,10.35,10.6,9.72,10.01,47500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-21,10.09,10.09,10.09,10.09,500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-24,9.76,9.76,9.53,9.53,13000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-25,9.52,9.52,9.0,9.0,5500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-26,8.87,10.0,8.86,10.0,330000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-27,10.75,10.75,9.2,9.26,63500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-28,9.25,10.0,9.0,10.0,16500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-10-31,9.5,9.9,9.4,9.81,9000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-01,9.45,9.73,9.15,9.25,628500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-02,9.48,9.5,9.11,9.11,232500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-03,9.34,9.35,9.06,9.08,37500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-04,9.1,9.25,9.0,9.02,71500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-07,9.1,9.1,8.9,9.1,49000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-08,8.91,9.0,8.7,8.81,174000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-10,8.78,9.0,8.69,8.92,78500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-11,9.09,9.75,9.01,9.22,492000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-14,9.45,9.5,9.11,9.36,34000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-15,9.1,9.42,9.0,9.05,155000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-16,9.02,9.1,8.96,9.08,13000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-17,9.0,9.0,8.91,8.92,10500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-18,9.01,9.34,8.91,8.91,151500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-21,9.1,9.1,9.0,9.0,3000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-22,9.25,9.42,9.0,9.17,101000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-23,9.3,9.38,8.95,9.0,284500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-24,9.2,9.38,8.91,9.03,774500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-25,9.2,9.97,9.2,9.52,793000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-28,9.73,9.79,9.5,9.5,186500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-29,9.5,9.89,9.35,9.5,191000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-11-30,9.65,9.7,9.45,9.5,40000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-01,9.5,10.5,9.5,10.5,794500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-02,10.75,11.28,10.01,10.25,513500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-05,10.05,10.29,9.7,9.76,215500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-06,9.51,10.3,9.51,9.7,42500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-07,9.53,9.7,9.36,9.41,128000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-08,9.35,9.95,8.6,8.77,1635000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-09,8.99,9.2,8.8,9.1,119500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-13,9.02,9.24,8.9,8.99,52500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-14,8.85,9.0,8.61,8.91,94000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-15,8.71,9.4,8.71,9.18,228000,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-16,9.01,9.24,9.0,9.02,56500,psxdata,2026-05-11T12:54:06
WAVESAPP,2016-12-19,8.88,9.0,8.85,8.85,51000,psxdata,2026-05-11T12:54:06
