symbol,date,open,high,low,close,volume,source,collected_at
WTL,2016-05-11,1.75,1.81,1.72,1.74,1316000,psxdata,2026-05-11T12:50:27
WTL,2016-05-12,1.8,1.82,1.71,1.78,1388500,psxdata,2026-05-11T12:50:27
WTL,2016-05-13,1.8,1.85,1.71,1.78,1864000,psxdata,2026-05-11T12:50:27
WTL,2016-05-16,1.85,1.89,1.75,1.78,3337500,psxdata,2026-05-11T12:50:27
WTL,2016-05-17,1.83,1.83,1.74,1.79,1359000,psxdata,2026-05-11T12:50:27
WTL,2016-05-18,1.8,1.85,1.75,1.79,1415500,psxdata,2026-05-11T12:50:27
WTL,2016-05-19,1.78,1.95,1.78,1.85,11981500,psxdata,2026-05-11T12:50:27
WTL,2016-05-20,1.89,1.92,1.8,1.86,2966000,psxdata,2026-05-11T12:50:27
WTL,2016-05-23,1.92,1.92,1.82,1.83,1215000,psxdata,2026-05-11T12:50:27
WTL,2016-05-24,1.9,1.9,1.81,1.84,1087000,psxdata,2026-05-11T12:50:27
WTL,2016-05-25,1.85,1.91,1.8,1.86,1963500,psxdata,2026-05-11T12:50:27
WTL,2016-05-26,1.9,1.91,1.8,1.81,1668000,psxdata,2026-05-11T12:50:27
WTL,2016-05-27,1.82,1.82,1.73,1.74,1270000,psxdata,2026-05-11T12:50:27
WTL,2016-05-30,1.7,1.77,1.68,1.7,913500,psxdata,2026-05-11T12:50:27
WTL,2016-05-31,1.72,1.75,1.69,1.7,252000,psxdata,2026-05-11T12:50:27
WTL,2016-06-01,1.75,1.78,1.7,1.73,584000,psxdata,2026-05-11T12:50:27
WTL,2016-06-02,1.73,1.77,1.7,1.7,956500,psxdata,2026-05-11T12:50:27
WTL,2016-06-03,1.7,1.75,1.69,1.7,1279500,psxdata,2026-05-11T12:50:27
WTL,2016-06-06,1.73,1.74,1.68,1.71,399500,psxdata,2026-05-11T12:50:27
WTL,2016-06-07,1.73,1.73,1.68,1.68,69000,psxdata,2026-05-11T12:50:27
WTL,2016-06-08,1.7,1.7,1.63,1.65,159500,psxdata,2026-05-11T12:50:27
WTL,2016-06-09,1.67,1.72,1.64,1.65,543500,psxdata,2026-05-11T12:50:27
WTL,2016-06-10,1.63,1.64,1.53,1.56,874500,psxdata,2026-05-11T12:50:27
WTL,2016-06-13,1.55,1.63,1.53,1.59,470000,psxdata,2026-05-11T12:50:27
WTL,2016-06-14,1.64,1.68,1.57,1.62,220500,psxdata,2026-05-11T12:50:27
WTL,2016-06-15,1.66,1.67,1.6,1.63,433500,psxdata,2026-05-11T12:50:27
WTL,2016-06-16,1.64,1.68,1.58,1.58,1069000,psxdata,2026-05-11T12:50:27
WTL,2016-06-17,1.6,1.6,1.55,1.55,652500,psxdata,2026-05-11T12:50:27
WTL,2016-06-20,1.59,1.68,1.56,1.62,2577000,psxdata,2026-05-11T12:50:27
WTL,2016-06-21,1.62,1.7,1.62,1.65,834000,psxdata,2026-05-11T12:50:27
WTL,2016-06-22,1.63,1.63,1.55,1.56,580500,psxdata,2026-05-11T12:50:27
WTL,2016-06-23,1.55,1.59,1.53,1.59,117500,psxdata,2026-05-11T12:50:27
WTL,2016-06-24,1.6,2.08,1.57,1.96,15231500,psxdata,2026-05-11T12:50:27
WTL,2016-06-27,2.04,2.15,1.89,1.91,9751000,psxdata,2026-05-11T12:50:27
WTL,2016-06-28,1.91,1.91,1.74,1.77,2422500,psxdata,2026-05-11T12:50:27
WTL,2016-06-29,1.72,2.07,1.72,1.99,6524500,psxdata,2026-05-11T12:50:27
WTL,2016-06-30,2.05,2.08,1.9,1.96,2245500,psxdata,2026-05-11T12:50:27
WTL,2016-07-04,2.0,2.02,1.86,1.96,1169500,psxdata,2026-05-11T12:50:27
WTL,2016-07-11,1.87,2.07,1.87,1.96,1617500,psxdata,2026-05-11T12:50:27
