symbol,date,open,high,low,close,volume,source,collected_at
YOUW,2016-05-11,3.0,3.45,2.83,2.87,7000,psxdata,2026-05-11T12:53:15
YOUW,2016-05-13,2.81,3.1,2.8,2.93,24500,psxdata,2026-05-11T12:53:15
YOUW,2016-05-16,3.1,3.3,3.1,3.1,1500,psxdata,2026-05-11T12:53:15
YOUW,2016-05-17,3.35,3.43,3.35,3.43,1000,psxdata,2026-05-11T12:53:15
YOUW,2016-05-18,3.49,3.49,2.95,3.28,13000,psxdata,2026-05-11T12:53:15
YOUW,2016-05-19,3.01,3.05,2.95,2.99,96500,psxdata,2026-05-11T12:53:15
YOUW,2016-05-23,3.08,3.1,3.08,3.09,1000,psxdata,2026-05-11T12:53:15
YOUW,2016-05-24,2.99,3.15,2.95,3.11,12000,psxdata,2026-05-11T12:53:15
YOUW,2016-05-25,3.0,3.1,2.95,3.1,2500,psxdata,2026-05-11T12:53:15
YOUW,2016-05-26,2.99,2.99,2.99,2.99,5000,psxdata,2026-05-11T12:53:15
YOUW,2016-05-27,3.2,3.5,2.9,2.99,6000,psxdata,2026-05-11T12:53:15
YOUW,2016-05-30,3.08,3.24,3.01,3.06,14500,psxdata,2026-05-11T12:53:15
YOUW,2016-05-31,3.1,3.15,3.0,3.13,8500,psxdata,2026-05-11T12:53:15
YOUW,2016-06-01,3.01,3.09,3.0,3.09,1500,psxdata,2026-05-11T12:53:15
YOUW,2016-06-03,3.1,3.2,3.1,3.13,63500,psxdata,2026-05-11T12:53:15
YOUW,2016-06-06,3.4,3.4,3.4,3.4,500,psxdata,2026-05-11T12:53:15
YOUW,2016-06-09,2.9,3.01,2.9,3.01,35500,psxdata,2026-05-11T12:53:15
YOUW,2016-06-13,2.82,3.03,2.81,3.02,2000,psxdata,2026-05-11T12:53:15
YOUW,2016-06-17,3.04,3.34,2.98,3.12,256500,psxdata,2026-05-11T12:53:15
YOUW,2016-06-27,2.7,2.99,2.7,2.8,2000,psxdata,2026-05-11T12:53:15
YOUW,2016-06-28,3.0,3.0,3.0,3.0,500,psxdata,2026-05-11T12:53:15
YOUW,2016-06-30,2.72,3.09,2.7,3.03,5500,psxdata,2026-05-11T12:53:15
YOUW,2016-07-14,2.51,3.09,2.16,2.93,14500,psxdata,2026-05-11T12:53:15
YOUW,2016-07-18,2.8,2.95,2.78,2.83,7000,psxdata,2026-05-11T12:53:15
YOUW,2016-07-19,2.48,2.99,2.48,2.88,70000,psxdata,2026-05-11T12:53:15
YOUW,2016-07-26,2.61,2.84,2.61,2.7,81000,psxdata,2026-05-11T12:53:15
YOUW,2016-07-28,2.68,2.74,2.67,2.73,7000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-01,2.61,2.7,2.61,2.7,18500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-03,2.67,2.67,2.67,2.67,500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-04,2.62,2.74,2.61,2.74,1500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-09,2.6,3.15,2.4,2.73,45500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-10,2.68,2.79,2.68,2.79,6500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-12,2.76,2.8,2.76,2.78,2500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-15,2.84,2.84,2.84,2.84,1000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-17,2.75,2.8,2.75,2.8,6500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-18,2.65,2.65,2.65,2.65,5000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-19,2.8,2.8,2.6,2.62,29500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-22,2.78,3.62,2.78,3.62,287000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-23,3.99,4.62,3.75,4.62,1253000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-24,4.83,5.62,4.82,5.62,3379500,psxdata,2026-05-11T12:53:15
YOUW,2016-08-25,5.99,6.0,4.85,5.06,2588000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-26,5.0,5.13,4.38,4.47,573000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-29,4.25,5.47,4.02,5.47,1389000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-30,5.7,6.47,5.63,6.47,1963000,psxdata,2026-05-11T12:53:15
YOUW,2016-08-31,6.7,7.47,6.67,7.42,1989000,psxdata,2026-05-11T12:53:15
YOUW,2016-09-01,7.6,8.4,7.6,8.11,1277000,psxdata,2026-05-11T12:53:15
YOUW,2016-09-02,7.81,8.0,7.11,7.11,948500,psxdata,2026-05-11T12:53:15
YOUW,2016-09-05,6.84,7.9,6.25,6.52,426500,psxdata,2026-05-11T12:53:15
YOUW,2016-09-06,6.9,6.9,5.52,5.53,1291500,psxdata,2026-05-11T12:53:15
YOUW,2016-09-07,5.6,5.65,5.15,5.2,343500,psxdata,2026-05-11T12:53:15
YOUW,2016-09-08,5.35,5.74,5.05,5.37,408000,psxdata,2026-05-11T12:53:15
YOUW,2016-09-09,5.25,5.9,5.25,5.56,311000,psxdata,2026-05-11T12:53:15
YOUW,2016-09-15,5.34,5.55,5.27,5.49,117500,psxdata,2026-05-11T12:53:15
