symbol,date,open,high,low,close,volume,source,collected_at
ZAL,2025-02-28,16.5,16.99,15.25,15.95,4763869,psxdata,2026-05-11T12:55:49
ZAL,2025-03-03,15.94,15.94,15.5,15.8,978757,psxdata,2026-05-11T12:55:49
ZAL,2025-03-04,15.99,16.2,15.5,15.98,523008,psxdata,2026-05-11T12:55:49
ZAL,2025-03-05,16.0,16.4,15.85,15.95,234278,psxdata,2026-05-11T12:55:49
ZAL,2025-03-06,16.2,16.2,15.76,15.88,187095,psxdata,2026-05-11T12:55:49
ZAL,2025-03-07,16.0,16.13,15.13,15.23,994573,psxdata,2026-05-11T12:55:49
ZAL,2025-03-10,15.3,16.1,15.3,16.02,798487,psxdata,2026-05-11T12:55:49
ZAL,2025-03-11,16.2,16.92,15.75,16.58,1501268,psxdata,2026-05-11T12:55:49
ZAL,2025-03-12,16.75,16.94,16.3,16.45,773835,psxdata,2026-05-11T12:55:49
ZAL,2025-03-13,16.69,16.8,16.15,16.17,418863,psxdata,2026-05-11T12:55:49
ZAL,2025-03-14,16.3,16.38,16.02,16.16,255699,psxdata,2026-05-11T12:55:49
ZAL,2025-03-17,16.02,16.25,15.9,15.96,549972,psxdata,2026-05-11T12:55:49
ZAL,2025-03-18,16.0,16.0,15.75,15.82,302526,psxdata,2026-05-11T12:55:49
ZAL,2025-03-19,15.85,16.0,15.65,15.72,338738,psxdata,2026-05-11T12:55:49
ZAL,2025-03-20,15.72,16.0,15.7,15.81,145089,psxdata,2026-05-11T12:55:49
ZAL,2025-03-21,15.74,15.87,15.5,15.59,214094,psxdata,2026-05-11T12:55:49
ZAL,2025-03-24,15.6,15.99,15.2,15.35,394256,psxdata,2026-05-11T12:55:49
ZAL,2025-03-25,15.26,15.5,15.15,15.33,238285,psxdata,2026-05-11T12:55:49
ZAL,2025-03-26,15.33,16.0,15.23,15.42,226031,psxdata,2026-05-11T12:55:49
ZAL,2025-03-27,15.9,15.9,15.21,15.26,406918,psxdata,2026-05-11T12:55:49
ZAL,2025-04-03,15.3,15.4,14.9,14.99,446005,psxdata,2026-05-11T12:55:49
ZAL,2025-04-04,14.99,15.18,14.9,14.91,280583,psxdata,2026-05-11T12:55:49
ZAL,2025-04-07,14.71,14.99,13.44,14.54,195521,psxdata,2026-05-11T12:55:49
ZAL,2025-04-08,14.5,14.51,13.9,13.96,761566,psxdata,2026-05-11T12:55:49
ZAL,2025-04-09,14.19,14.19,13.9,14.14,135547,psxdata,2026-05-11T12:55:49
ZAL,2025-04-10,14.25,14.9,14.25,14.52,927360,psxdata,2026-05-11T12:55:49
ZAL,2025-04-11,14.67,14.99,14.3,14.37,246684,psxdata,2026-05-11T12:55:49
ZAL,2025-04-14,14.37,14.5,14.03,14.28,664276,psxdata,2026-05-11T12:55:49
ZAL,2025-04-15,14.49,14.74,14.0,14.38,1171628,psxdata,2026-05-11T12:55:49
ZAL,2025-04-16,14.3,14.5,14.15,14.39,49702,psxdata,2026-05-11T12:55:49
ZAL,2025-04-17,14.49,14.63,14.16,14.49,153710,psxdata,2026-05-11T12:55:49
