symbol,date,open,high,low,close,volume,source,ingested_at,sector
AGHA,2026-04-09,7.0,7.0,6.69,6.78,3090506,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-10,6.88,7.05,6.82,6.97,4754316,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-13,6.8,6.8,6.6,6.68,1550666,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-14,6.75,6.87,6.72,6.83,904885,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-15,6.96,7.09,6.9,6.96,4295387,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-16,7.07,7.2,6.88,7.09,4694955,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-17,7.11,7.36,7.1,7.22,7673319,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-20,7.15,7.32,6.81,7.02,7685823,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-21,7.08,7.22,7.02,7.1,3173509,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-22,7.22,7.98,7.02,7.77,38192139,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-23,7.98,8.37,7.8,8.29,24954763,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-24,8.21,8.53,8.0,8.07,10320137,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-27,8.1,8.16,7.81,7.89,4722497,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-28,7.75,7.88,7.6,7.83,2309855,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-29,7.9,7.9,7.31,7.43,4865931,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-04-30,7.5,7.5,7.04,7.32,4128059,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-05-04,7.39,7.7,7.3,7.39,2770505,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-05-05,7.23,7.53,7.23,7.46,3349015,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-05-06,7.57,7.93,7.5,7.82,6419623,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-05-07,7.99,8.6,7.99,8.18,30674209,psxdata,2026-05-11T12:52:35,ENGINEERING
AGHA,2026-05-08,8.25,8.31,7.94,7.95,12204485,psxdata,2026-05-11T12:52:35,ENGINEERING
AHCL,2026-04-09,14.35,14.35,13.81,13.99,4937887,psxdata,2026-05-11T12:52:47,FERTILIZER
AHCL,2026-04-10,14.03,14.35,14.03,14.26,4204122,psxdata,2026-05-11T12:52:47,FERTILIZER
AHCL,2026-04-13,13.9,13.9,13.52,13.68,2796137,psxdata,2026-05-11T12:52:47,FERTILIZER
AHCL,2026-04-14,13.73,14.1,13.73,14.07,2328964,psxdata,2026-05-11T12:52:47,FERTILIZER
AHCL,2026-04-15,14.49,14.73,14.35,14.49,12259222,psxdata,2026-05-11T12:52:47,FERTILIZER
AHCL,2026-04-16,14.65,15.76,14.3,15.36,16509274,psxdata,2026-05-11T12:52:47,FERTILIZER
AHCL,2026-04-17,15.52,15.79,15.3,15.44,17782223,psxdata,2026-05-11T12:52:47,FERTILIZER
