symbol,sector,rows,start_date,end_date,avg_volume,min_close,max_close
AGHA,ENGINEERING,1366,2020-11-02,2026-05-08,2444758.37,6.03,41.48
AHCL,FERTILIZER,2301,2016-05-11,2026-05-08,811937.23,9.55,109.69
AIRLINK,TECHNOLOGY & COMMUNICATION,1149,2021-09-22,2026-05-08,3192012.65,18.09,222.89
AKBL,COMMERCIAL BANKS,2471,2016-05-11,2026-05-08,1235625.45,12.12,125.29
AMTEX,TEXTILE SPINNING,1411,2016-05-11,2026-05-08,1315291.8,0.39,6.39
ANL,TEXTILE COMPOSITE,2474,2016-05-11,2026-05-08,3651479.64,3.9,38.19
ASC,FOOD & PERSONAL CARE PRODUCTS,2474,2016-05-11,2026-05-08,1499579.03,4.88,67.01
ASL,ENGINEERING,2473,2016-05-11,2026-05-08,4201180.97,4.99,28.22
ASTL,ENGINEERING,2472,2016-05-11,2026-05-08,1053328.81,14.13,137.97
BAFL,COMMERCIAL BANKS,2474,2016-05-11,2026-05-08,1865375.81,24.21,135.62
BBFL,FOOD & PERSONAL CARE PRODUCTS,442,2024-08-05,2026-05-08,2223150.19,34.08,83.55
BECO,ENGINEERING,1152,2021-08-04,2026-05-08,1753725.63,4.05,71.41
BFAGRO,FOOD & PERSONAL CARE PRODUCTS,292,2025-03-07,2026-05-08,2130408.8,20.02,48.03
BIPL,COMMERCIAL BANKS,2388,2016-05-11,2026-05-08,1228588.72,7.35,42.88
BML,COMMERCIAL BANKS,2471,2016-05-11,2026-05-08,3260057.33,0.4,85.95
BNL,FOOD & PERSONAL CARE PRODUCTS,1352,2020-09-10,2026-05-08,1038070.14,7.53,160.09
BOP,COMMERCIAL BANKS,2473,2016-05-11,2026-05-08,13813765.83,3.19,43.09
CLOV,FOOD & PERSONAL CARE PRODUCTS,2456,2016-05-11,2026-05-08,312697.1,6.89,258.23
CNERGY,REFINERY,2475,2016-05-11,2026-05-08,12744662.03,2.79,26.8
CPHL,PHARMACEUTICALS,1197,2021-07-09,2026-05-08,2671276.83,19.39,106.56
CSIL,INSURANCE,2470,2016-05-11,2026-05-08,1273762.91,0.86,13.42
DCL,CEMENT,2469,2016-05-11,2026-05-08,3619469.92,3.77,40.51
DFML,AUTOMOBILE ASSEMBLER,2474,2016-05-11,2026-05-08,2625078.71,2.69,57.61
DFSM,TEXTILE SPINNING,2439,2016-05-11,2026-05-08,570567.05,1.02,17.0
DGKC,CEMENT,2474,2016-05-11,2026-05-08,3469360.51,39.44,271.4
DSIL,TEXTILE SPINNING,2443,2016-05-11,2026-05-08,754339.38,1.01,17.0
DSL,ENGINEERING,2469,2016-05-11,2026-05-08,2748818.68,2.31,19.7
ENGROH,INV. BANKS / INV. COS. / SECURITIES COS.,2450,2016-05-11,2026-05-08,476400.98,88.26,298.02
EPCL,CHEMICAL,2475,2016-05-11,2026-05-08,3388656.05,8.31,90.73
FABL,COMMERCIAL BANKS,2468,2016-05-11,2026-05-08,1645297.85,11.95,104.05
FCCL,CEMENT,2473,2016-05-11,2026-05-08,5840547.54,10.51,61.05
FCL,CABLE & ELECTRICAL GOODS,477,2024-06-10,2026-05-08,2997945.32,19.75,28.3
FCSC,INV. BANKS / INV. COS. / SECURITIES COS.,2441,2016-05-11,2026-05-08,1655520.65,0.6,10.0
FDPL,INV. BANKS / INV. COS. / SECURITIES COS.,2462,2016-05-11,2026-05-08,1019016.92,0.9,8.58
FFC,FERTILIZER,2472,2016-05-11,2026-05-08,1303990.81,70.07,673.16
FFL,FOOD & PERSONAL CARE PRODUCTS,2436,2016-06-22,2026-05-08,6760322.86,4.39,120.59
FNEL,INV. BANKS / INV. COS. / SECURITIES COS.,2405,2016-05-11,2026-05-08,3394581.98,1.11,36.38
GCIL,CHEMICAL,865,2022-11-14,2026-05-08,2432705.18,7.73,38.46
GCWL,CHEMICAL,262,2025-04-24,2026-05-08,4478694.85,5.59,24.43
GGGL,GLASS & CERAMICS,2466,2016-05-11,2026-05-08,1700955.76,4.64,30.02
GGL,CHEMICAL,2471,2016-05-11,2026-05-08,3573250.87,6.74,51.41
HASCOL,OIL & GAS MARKETING COMPANIES,2475,2016-05-11,2026-05-08,8870732.54,3.67,389.41
HBL,COMMERCIAL BANKS,2474,2016-05-11,2026-05-08,1878960.8,59.92,363.83
HUBC,POWER GENERATION & DISTRIBUTION,2471,2016-05-11,2026-05-08,3134699.86,57.4,244.21
HUMNL,TECHNOLOGY & COMMUNICATION,2466,2016-05-11,2026-05-08,4877425.05,1.82,17.8
ICIBL,INV. BANKS / INV. COS. / SECURITIES COS.,2459,2016-05-11,2026-05-08,1098703.24,0.55,13.64
IMAGE,APPAREL,1260,2021-04-06,2026-05-08,1633119.03,9.15,37.25
IMS,INV. BANKS / INV. COS. / SECURITIES COS.,1584,2017-05-29,2026-05-08,372697.74,4.93,160.22
ITTEFAQ,ENGINEERING,2187,2017-07-03,2026-05-08,751509.09,4.2,36.0
KEL,POWER GENERATION & DISTRIBUTION,2472,2016-05-11,2026-05-08,23779134.89,1.57,10.67
KOSM,TEXTILE SPINNING,2448,2016-05-11,2026-05-08,4814671.88,1.02,11.99
LOADS,AUTOMOBILE PARTS & ACCESSORIES,2358,2016-11-01,2026-05-08,1400610.96,5.64,64.53
LOTCHEM,CHEMICAL,2475,2016-05-11,2026-05-08,4613413.52,5.87,35.13
LSECL,INV. BANKS / INV. COS. / SECURITIES COS.,486,2024-05-24,2026-05-08,1177914.47,2.94,9.68
LSEVL,INV. BANKS / INV. COS. / SECURITIES COS.,689,2023-06-27,2026-05-08,744605.87,3.97,15.72
LUCK,CEMENT,2470,2016-05-11,2026-05-08,729638.64,287.68,1751.45
MDTL,TECHNOLOGY & COMMUNICATION,2463,2016-05-11,2026-05-08,1774342.01,0.6,8.61
MLCF,CEMENT,2474,2016-05-11,2026-05-08,6192340.32,13.79,137.64
MUGHAL,ENGINEERING,2475,2016-05-11,2026-05-08,908633.07,18.97,148.04
NBP,COMMERCIAL BANKS,2473,2016-05-12,2026-05-08,2612258.61,18.89,286.42
NCPL,POWER GENERATION & DISTRIBUTION,2471,2016-05-11,2026-05-08,1355023.12,9.61,86.98
NML,TEXTILE COMPOSITE,2470,2016-05-11,2026-05-08,1221870.52,49.4,205.05
NPL,POWER GENERATION & DISTRIBUTION,2439,2016-05-11,2026-05-08,856960.45,15.91,98.91
NRL,REFINERY,2472,2016-05-11,2026-05-08,766688.02,74.89,841.51
OGDC,OIL & GAS EXPLORATION COMPANIES,2475,2016-05-11,2026-05-08,4104660.04,69.77,333.9
PACE,PROPERTY,2462,2016-05-11,2026-05-08,4398034.26,1.16,29.27
PAEL,CABLE & ELECTRICAL GOODS,2471,2016-05-11,2026-05-08,7329596.27,8.79,123.73
PASL,INV. BANKS / INV. COS. / SECURITIES COS.,2467,2016-05-11,2026-05-08,2100459.43,0.29,4.05
PIAHCLA,INV. BANKS / INV. COS. / SECURITIES COS.,2473,2016-05-11,2026-05-08,4070498.89,3.2,47.63
PIBTL,TRANSPORT,2474,2016-05-11,2026-05-08,7945366.17,3.47,39.22
PPL,OIL & GAS EXPLORATION COMPANIES,2474,2016-05-11,2026-05-08,3726059.6,51.05,281.52
PREMA,FOOD & PERSONAL CARE PRODUCTS,1919,2018-07-30,2026-05-08,1370686.51,12.05,86.74
PRL,REFINERY,2475,2016-05-11,2026-05-08,6815390.29,9.5,81.45
PSO,OIL & GAS MARKETING COMPANIES,2472,2016-05-11,2026-05-08,1818122.88,99.03,503.21
PSX,INV. BANKS / INV. COS. / SECURITIES COS.,2191,2017-06-29,2026-05-08,1198803.48,6.96,53.31
PTC,TECHNOLOGY & COMMUNICATION,2474,2016-05-11,2026-05-08,5035865.8,5.59,69.73
QUICE,FOOD & PERSONAL CARE PRODUCTS,2465,2016-05-11,2026-05-08,1071577.06,2.15,41.87
SEARL,PHARMACEUTICALS,2474,2016-05-11,2026-05-08,2198590.01,34.54,739.23
SLGL,TRANSPORT,510,2024-04-22,2026-05-08,4341817.15,8.47,25.13
SNBL,COMMERCIAL BANKS,2333,2016-05-11,2026-05-08,652552.98,7.98,31.92
SNGP,OIL & GAS MARKETING COMPANIES,2475,2016-05-11,2026-05-08,3781788.02,25.88,181.1
SSGC,OIL & GAS MARKETING COMPANIES,2474,2016-05-11,2026-05-08,4723162.26,8.36,49.52
STPL,MISCELLANEOUS,2474,2016-05-11,2026-05-08,1577714.36,4.43,40.67
SYM,TECHNOLOGY & COMMUNICATION,667,2023-09-01,2026-05-08,4537095.39,3.38,21.19
SYS,TECHNOLOGY & COMMUNICATION,2458,2016-05-11,2026-05-08,571352.45,56.44,818.45
TBL,AUTOMOBILE PARTS & ACCESSORIES,594,2023-12-15,2026-05-08,3314174.4,8.05,59.46
TELE,TECHNOLOGY & COMMUNICATION,2467,2016-05-11,2026-05-08,6104410.14,0.75,24.36
THCCL,CEMENT,2440,2016-05-11,2026-05-08,930705.56,6.07,228.35
TOMCL,FOOD & PERSONAL CARE PRODUCTS,1430,2020-08-03,2026-05-08,2098740.33,18.33,72.88
TPL,TECHNOLOGY & COMMUNICATION,2471,2016-05-11,2026-05-08,2547001.75,2.83,25.99
TPLP,PROPERTY,1932,2018-01-11,2026-05-08,5251880.88,3.5,67.8
TSBL,INV. BANKS / INV. COS. / SECURITIES COS.,1040,2016-05-11,2026-05-08,1183545.09,1.38,63.22
UBL,COMMERCIAL BANKS,2473,2016-05-11,2026-05-08,1394050.0,89.44,552.11
UNITY,FOOD & PERSONAL CARE PRODUCTS,2123,2017-10-05,2026-05-08,8731300.45,7.62,188.66
WASL,MODARABAS,2326,2016-05-11,2026-05-08,682095.57,0.72,8.8
WAVES,CABLE & ELECTRICAL GOODS,2474,2016-05-11,2026-05-08,1867195.1,6.0,80.87
WAVESAPP,CABLE & ELECTRICAL GOODS,2134,2016-05-11,2026-05-08,1284957.51,2.01,17.3
WTL,TECHNOLOGY & COMMUNICATION,2467,2016-05-11,2026-05-08,25978313.83,0.55,4.25
YOUW,TEXTILE WEAVING,2429,2016-05-11,2026-05-08,1590405.8,1.31,11.49
ZAL,TECHNOLOGY & COMMUNICATION,297,2025-02-28,2026-05-08,2084638.5,13.96,72.3
